# !!! ------------------------------- NOTE!! --------------------------------- !!!
# !!! THESE COMPOUNDS ARE READ FROM THE DEFINITION FILE, NOT KPP OUTPUT. THIS  !!!
# !!! MEANS THAT THE NUMBER OF COMPOUNDS MAY BE MORE THAN IS ACTUALLY IN THE   !!!
# !!! SCHEME. ALSO, THE ORDER OF COMPOUNDS IS _NOT_ THE SAME AS THE INDICES IN !!!
# !!! CHEMISTRY. THE INFORMATION IN THIS FILE SHOULD BE USED IN A DICTIONARY.  !!! 
# If all atoms are zero, scheme definition had IGNORE in elemental composition
# name                         mass          C  H  O  N  S Cl Br  I  is_Radical
HO2C5O                         103.14100000  5 11  2  0  0  0  0  0   0
HO2C5NO3                       149.14600000  5 11  4  1  0  0  0  0   0
PEBOOH                         104.14900000  5 12  2  0  0  0  0  0   0
PEBOH                           88.15000000  5 12  1  0  0  0  0  0   0
HO2C5OOH                       120.14800000  5 12  3  0  0  0  0  0   0
CH3CO3                          75.04300000  2  3  3  0  0  0  0  0   1
CO2C4CHO                       100.11700000  5  8  2  0  0  0  0  0   0
C51O2                          133.12300000  5  9  4  0  0  0  0  0   1
C51O                           117.12400000  5  9  3  0  0  0  0  0   0
C51NO3                         163.12900000  5  9  5  1  0  0  0  0   0
C51OOH                         134.13100000  5 10  4  0  0  0  0  0   0
HO1CO24C5                      116.11600000  5  8  3  0  0  0  0  0   0
C51OH                          118.13200000  5 10  3  0  0  0  0  0   0
CH3COCH2O2                      89.07000000  3  5  3  0  0  0  0  0   1
HOCH2CO3                        91.04200000  2  3  4  0  0  0  0  0   1
CO24C4CHO                      114.10000000  5  6  3  0  0  0  0  0   0
CO2C3CO3                       117.08000000  4  5  4  0  0  0  0  0   1
MEKAO2                         103.09700000  4  7  3  0  0  0  0  0   1
CO2C4CO3                       131.10700000  5  7  4  0  0  0  0  0   1
C5PAN2                         177.11200000  5  7  6  1  0  0  0  0   0
CO2C4CO3H                      132.11500000  5  8  4  0  0  0  0  0   0
CO2C4CO2H                      116.11600000  5  8  3  0  0  0  0  0   0
PECO                            87.14200000  5 11  1  0  0  0  0  0   0
PECNO3                         133.14700000  5 11  3  1  0  0  0  0   0
DIEK                            86.13400000  5 10  1  0  0  0  0  0   0
PECOOH                         104.14900000  5 12  2  0  0  0  0  0   0
PECOH                           88.15000000  5 12  1  0  0  0  0  0   0
IC5H12                          72.15100000  5 12  0  0  0  0  0  0   0
IPEAO2                         103.14100000  5 11  2  0  0  0  0  0   1
IPEBO2                         103.14100000  5 11  2  0  0  0  0  0   1
IPECO2                         103.14100000  5 11  2  0  0  0  0  0   1
IPEAO                           87.14200000  5 11  1  0  0  0  0  0   0
IPEANO3                        133.14700000  5 11  3  1  0  0  0  0   0
BUT2CHO                         86.13400000  5 10  1  0  0  0  0  0   0
C52O2                          119.14000000  5 11  3  0  0  0  0  0   1
C52O                           103.14100000  5 11  2  0  0  0  0  0   0
C52NO3                         149.14600000  5 11  4  1  0  0  0  0   0
HOBUT2CHO                      102.13300000  5 10  2  0  0  0  0  0   0
IPEAOOH                        104.14900000  5 12  2  0  0  0  0  0   0
IPEAOH                          88.15000000  5 12  1  0  0  0  0  0   0
C52OOH                         120.14800000  5 12  3  0  0  0  0  0   0
HOIBUTCHO                      102.13300000  5 10  2  0  0  0  0  0   0
C52OH                          104.14900000  5 12  2  0  0  0  0  0   0
IBUTOLCO2                      105.11300000  4  9  3  0  0  0  0  0   1
HOIBUTCO3                      133.12300000  5  9  4  0  0  0  0  0   1
C5PAN3                         179.12800000  5  9  6  1  0  0  0  0   0
HOIBUTCO3H                     134.13100000  5 10  4  0  0  0  0  0   0
HOIPRCHO                        88.10600000  4  8  2  0  0  0  0  0   0
C3H6                            42.08100000  3  6  0  0  0  0  0  0   0
BUT2CO3                        117.12400000  5  9  3  0  0  0  0  0   1
C5PAN4                         163.12900000  5  9  5  1  0  0  0  0   0
BUT2CO3H                       118.13200000  5 10  3  0  0  0  0  0   0
BUT2CO2H                       102.13300000  5 10  2  0  0  0  0  0   0
NBUTOLBO2                      105.11300000  4  9  3  0  0  0  0  0   1
HOBUT2CO3                      133.12300000  5  9  4  0  0  0  0  0   1
C5PAN5                         179.12800000  5  9  6  1  0  0  0  0   0
HOBUT2CO3H                     134.13100000  5 10  4  0  0  0  0  0   0
HOBUT2CO2H                     118.13200000  5 10  3  0  0  0  0  0   0
IPEBO                           87.14200000  5 11  1  0  0  0  0  0   0
IPEBNO3                        133.14700000  5 11  3  1  0  0  0  0   0
MIPK                            86.13400000  5 10  1  0  0  0  0  0   0
IPEBOOH                        104.14900000  5 12  2  0  0  0  0  0   0
IPEBOH                          88.15000000  5 12  1  0  0  0  0  0   0
IPECO                           87.14200000  5 11  1  0  0  0  0  0   0
IPECNO3                        133.14700000  5 11  3  1  0  0  0  0   0
IPECOOH                        104.14900000  5 12  2  0  0  0  0  0   0
IPECOH                          88.15000000  5 12  1  0  0  0  0  0   0
NEOP                            72.15100000  5 12  0  0  0  0  0  0   0
NEOPO2                         103.14100000  5 11  2  0  0  0  0  0   1
NEOPO                           87.14200000  5 11  1  0  0  0  0  0   0
NEOPNO3                        133.14700000  5 11  3  1  0  0  0  0   0
NEOPOOH                        104.14900000  5 12  2  0  0  0  0  0   0
NEOPOH                          88.15000000  5 12  1  0  0  0  0  0   0
TBUTCHO                         86.13400000  5 10  1  0  0  0  0  0   0
TBUTCO3                        117.12400000  5  9  3  0  0  0  0  0   1
C5PAN6                         163.12900000  5  9  5  1  0  0  0  0   0
TBUTCO3H                       118.13200000  5 10  3  0  0  0  0  0   0
HEXAO2                         117.16800000  6 13  2  0  0  0  0  0   1
NC6H14                          86.17800000  6 14  0  0  0  0  0  0   0
HEXBO2                         117.16800000  6 13  2  0  0  0  0  0   1
HEXCO2                         117.16800000  6 13  2  0  0  0  0  0   1
HEXAO                          101.16900000  6 13  1  0  0  0  0  0   0
HEXANO3                        147.17400000  6 13  3  1  0  0  0  0   0
HO1C6O2                        133.16700000  6 13  3  0  0  0  0  0   1
HO1C6O                         117.16800000  6 13  2  0  0  0  0  0   0
HO1C6NO3                       163.17300000  6 13  4  1  0  0  0  0   0
HO3C5CHO                       116.16000000  6 12  2  0  0  0  0  0   0
HEXAOOH                        118.17600000  6 14  2  0  0  0  0  0   0
C5H11CHO                       100.16100000  6 12  1  0  0  0  0  0   0
HEXAOH                         102.17700000  6 14  1  0  0  0  0  0   0
HO1C6OOH                       134.17500000  6 14  3  0  0  0  0  0   0
HO1CO4C6                       116.16000000  6 12  2  0  0  0  0  0   0
HO14C6                         118.17600000  6 14  2  0  0  0  0  0   0
BUT1ENE                         56.10800000  4  8  0  0  0  0  0  0   0
C5H11CO3                       131.15100000  6 11  3  0  0  0  0  0   1
PHXN                           177.15600000  6 11  5  1  0  0  0  0   0
C5H11CO3H                      132.15900000  6 12  3  0  0  0  0  0   0
HO3C5O2                        119.14000000  5 11  3  0  0  0  0  0   1
HO3C5CO3                       147.15000000  6 11  4  0  0  0  0  0   1
CO3C5CHO                       114.14400000  6 10  2  0  0  0  0  0   0
HO3C5O                         103.14100000  5 11  2  0  0  0  0  0   0
HO3C5NO3                       149.14600000  5 11  4  1  0  0  0  0   0
HO13C5O2                       135.13900000  5 11  4  0  0  0  0  0   1
HO13C5O                        119.14000000  5 11  3  0  0  0  0  0   0
HO13C5NO3                      165.14500000  5 11  5  1  0  0  0  0   0
C6PAN1                         193.15500000  6 11  6  1  0  0  0  0   0
HO3C5CO3H                      148.15800000  6 12  4  0  0  0  0  0   0
HO3C5CO2H                      132.15900000  6 12  3  0  0  0  0  0   0
HO3C5OOH                       120.14800000  5 12  3  0  0  0  0  0   0
HO3C4CHO                       102.13300000  5 10  2  0  0  0  0  0   0
HO13C5                         104.14900000  5 12  2  0  0  0  0  0   0
HO13C5OOH                      136.14700000  5 12  4  0  0  0  0  0   0
HO13CO4C5                      118.13200000  5 10  3  0  0  0  0  0   0
HO134C5                        120.14800000  5 12  3  0  0  0  0  0   0
HO1CO3C5                       102.13300000  5 10  2  0  0  0  0  0   0
HO3C4O2                        105.11300000  4  9  3  0  0  0  0  0   1
