#     time                    CH3OH                   -                       CH3CHO                  C2H5OH                  CH3COCH3                CH3CO2H                 C5H8                    -                       MEK                     BENZENE                 -                       -                       TOLUENE                 MONOTERPENE
      1.011527777778e+02      1.482304328684e+00      8.313698718990e-02      3.605785518913e-01      4.588696539789e-01      8.136984466700e-01      4.351163379236e-01      3.575863822613e-02      2.026995911702e-02      1.126070205908e-01      8.779469510322e-02      1.909752981392e-01      2.719761377862e-02      2.448442253769e-02      3.850939718532e-01
      1.011597222222e+02      1.504077463724e+00      8.328731049754e-02      3.684356957932e-01      4.601090485310e-01      8.259084619427e-01      4.387231331318e-01      3.733608960983e-02      2.102024925146e-02      1.127631289754e-01      8.832707537274e-02      2.198406357948e-01      2.740875968748e-02      2.624616162377e-02      4.435982528808e-01
      1.011666666667e+02      1.525850598765e+00      8.343763380517e-02      3.762928396952e-01      4.613484430830e-01      8.381184772155e-01      4.423299283400e-01      3.891354099352e-02      2.177053938590e-02      1.129192373600e-01      8.885945564225e-02      2.487059734504e-01      2.761990559633e-02      2.800790070984e-02      5.021025339082e-01
      1.011736111111e+02      1.547623733805e+00      8.358795711280e-02      3.841499835972e-01      4.625878376350e-01      8.503284924882e-01      4.459367235482e-01      4.049099237721e-02      2.252082952034e-02      1.130753457445e-01      8.939183591176e-02      2.775713111059e-01      2.783105150519e-02      2.976963979592e-02      5.606068149356e-01
      1.011805555556e+02      1.569396868845e+00      8.373828042043e-02      3.920071274991e-01      4.638272321871e-01      8.625385077609e-01      4.495435187564e-01      4.206844376090e-02      2.327111965478e-02      1.132314541291e-01      8.992421618127e-02      3.064366487615e-01      2.804219741404e-02      3.153137888199e-02      6.191110959631e-01
      1.011875000000e+02      1.591170003886e+00      8.388860372806e-02      3.998642714011e-01      4.650666267391e-01      8.747485230337e-01      4.531503139645e-01      4.364589514459e-02      2.402140978922e-02      1.133875625137e-01      9.045659645079e-02      3.353019864170e-01      2.825334332290e-02      3.329311796806e-02      6.776153769905e-01
      1.011944444444e+02      1.612943138926e+00      8.403892703569e-02      4.077214153031e-01      4.663060212912e-01      8.869585383064e-01      4.567571091727e-01      4.522334652828e-02      2.477169992366e-02      1.135436708983e-01      9.098897672030e-02      3.641673240726e-01      2.846448923175e-02      3.505485705414e-02      7.361196580180e-01
      1.012013888889e+02      1.634716273966e+00      8.418925034332e-02      4.155785592051e-01      4.675454158432e-01      8.991685535791e-01      4.603639043809e-01      4.680079791197e-02      2.552199005810e-02      1.136997792829e-01      9.152135698981e-02      3.930326617282e-01      2.867563514061e-02      3.681659614021e-02      7.946239390454e-01
      1.012083333333e+02      1.656489409007e+00      8.433957365095e-02      4.234357031070e-01      4.687848103952e-01      9.113785688519e-01      4.639706995891e-01      4.837824929566e-02      2.627228019254e-02      1.138558876674e-01      9.205373725932e-02      4.218979993837e-01      2.888678104946e-02      3.857833522629e-02      8.531282200728e-01
      1.012152777778e+02      1.678262544047e+00      8.448989695858e-02      4.312928470090e-01      4.700242049473e-01      9.235885841246e-01      4.675774947972e-01      4.995570067935e-02      2.702257032697e-02      1.140119960520e-01      9.258611752883e-02      4.507633370393e-01      2.909792695832e-02      4.034007431236e-02      9.116325011003e-01
      1.012222222222e+02      1.700035679088e+00      8.464022026621e-02      4.391499909110e-01      4.712635994993e-01      9.357985993973e-01      4.711842900054e-01      5.153315206304e-02      2.777286046142e-02      1.141681044366e-01      9.311849779835e-02      4.796286746949e-01      2.930907286717e-02      4.210181339844e-02      9.701367821278e-01
      1.012291666667e+02      1.721808814128e+00      8.479054357384e-02      4.470071348129e-01      4.725029940514e-01      9.480086146701e-01      4.747910852136e-01      5.311060344673e-02      2.852315059586e-02      1.143242128212e-01      9.365087806786e-02      5.084940123504e-01      2.952021877603e-02      4.386355248451e-02      1.028641063155e+00
      1.012361111111e+02      1.743581949168e+00      8.494086688147e-02      4.548642787149e-01      4.737423886034e-01      9.602186299428e-01      4.783978804218e-01      5.468805483042e-02      2.927344073029e-02      1.144803212057e-01      9.418325833737e-02      5.373593500060e-01      2.973136468488e-02      4.562529157059e-02      1.087145344183e+00
      1.012430555556e+02      1.765355084209e+00      8.509119018910e-02      4.627214226169e-01      4.749817831555e-01      9.724286452155e-01      4.820046756300e-01      5.626550621411e-02      3.002373086473e-02      1.146364295903e-01      9.471563860688e-02      5.662246876616e-01      2.994251059373e-02      4.738703065666e-02      1.145649625210e+00
      1.012500000000e+02      1.753860689401e+00      8.490416954799e-02      4.614136776766e-01      4.765082720516e-01      9.707839370733e-01      4.811060696803e-01      5.586443725061e-02      3.015482349738e-02      1.141585326352e-01      9.445522845304e-02      5.610622398771e-01      3.006380747551e-02      4.729402976093e-02      1.133986720935e+00
      1.012569444444e+02      1.718863295691e+00      8.447882058813e-02      4.536310795268e-01      4.782375886925e-01      9.593510796242e-01      4.770244670082e-01      5.406557404866e-02      2.984846260487e-02      1.132327206449e-01      9.363472404105e-02      5.318596842902e-01      3.012162739959e-02      4.589068355382e-02      1.072751777896e+00
      1.012638888889e+02      1.683865901981e+00      8.405347162828e-02      4.458484813771e-01      4.799669053334e-01      9.479182221751e-01      4.729428643361e-01      5.226671084671e-02      2.954210171236e-02      1.123069086545e-01      9.281421962907e-02      5.026571287034e-01      3.017944732367e-02      4.448733734672e-02      1.011516834857e+00
      1.012708333333e+02      1.648868508271e+00      8.362812266843e-02      4.380658832273e-01      4.816962219743e-01      9.364853647260e-01      4.688612616639e-01      5.046784764476e-02      2.923574081985e-02      1.113810966642e-01      9.199371521709e-02      4.734545731165e-01      3.023726724775e-02      4.308399113961e-02      9.502818918178e-01
      1.012777777778e+02      1.613871114561e+00      8.320277370857e-02      4.302832850776e-01      4.834255386152e-01      9.250525072769e-01      4.647796589918e-01      4.866898444280e-02      2.892937992734e-02      1.104552846738e-01      9.117321080510e-02      4.442520175297e-01      3.029508717184e-02      4.168064493250e-02      8.890469487788e-01
      1.012847222222e+02      1.578873720851e+00      8.277742474872e-02      4.225006869278e-01      4.851548552561e-01      9.136196498278e-01      4.606980563197e-01      4.687012124085e-02      2.862301903483e-02      1.095294726835e-01      9.035270639311e-02      4.150494619428e-01      3.035290709592e-02      4.027729872539e-02      8.278120057397e-01
      1.012916666667e+02      1.543876327141e+00      8.235207578886e-02      4.147180887781e-01      4.868841718970e-01      9.021867923787e-01      4.566164536476e-01      4.507125803890e-02      2.831665814232e-02      1.086036606931e-01      8.953220198113e-02      3.858469063559e-01      3.041072702000e-02      3.887395251828e-02      7.665770627008e-01
      1.012986111111e+02      1.508878933431e+00      8.192672682901e-02      4.069354906283e-01      4.886134885379e-01      8.907539349296e-01      4.525348509755e-01      4.327239483694e-02      2.801029724981e-02      1.076778487028e-01      8.871169756915e-02      3.566443507691e-01      3.046854694408e-02      3.747060631117e-02      7.053421196618e-01
      1.013055555556e+02      1.473881539721e+00      8.150137786915e-02      3.991528924786e-01      4.903428051788e-01      8.793210774805e-01      4.484532483034e-01      4.147353163499e-02      2.770393635730e-02      1.067520367125e-01      8.789119315716e-02      3.274417951822e-01      3.052636686816e-02      3.606726010406e-02      6.441071766228e-01
      1.013125000000e+02      1.438884146011e+00      8.107602890930e-02      3.913702943289e-01      4.920721218198e-01      8.678882200314e-01      4.443716456312e-01      3.967466843304e-02      2.739757546479e-02      1.058262247221e-01      8.707068874518e-02      2.982392395953e-01      3.058418679224e-02      3.466391389696e-02      5.828722335838e-01
      1.013194444444e+02      1.403886752301e+00      8.065067994945e-02      3.835876961791e-01      4.938014384607e-01      8.564553625823e-01      4.402900429591e-01      3.787580523109e-02      2.709121457228e-02      1.049004127318e-01      8.625018433319e-02      2.690366840085e-01      3.064200671632e-02      3.326056768985e-02      5.216372905448e-01
      1.013263888889e+02      1.368889358592e+00      8.022533098959e-02      3.758050980294e-01      4.955307551016e-01      8.450225051332e-01      4.362084402870e-01      3.607694202913e-02      2.678485367977e-02      1.039746007414e-01      8.542967992121e-02      2.398341284216e-01      3.069982664040e-02      3.185722148274e-02      4.604023475059e-01
      1.013333333333e+02      1.333891964882e+00      7.979998202974e-02      3.680224998796e-01      4.972600717425e-01      8.335896476841e-01      4.321268376149e-01      3.427807882718e-02      2.647849278726e-02      1.030487887511e-01      8.460917550922e-02      2.106315728348e-01      3.075764656448e-02      3.045387527563e-02      3.991674044669e-01
      1.013402777778e+02      1.298894571172e+00      7.937463306988e-02      3.602399017299e-01      4.989893883834e-01      8.221567902350e-01      4.280452349428e-01      3.247921562523e-02      2.617213189475e-02      1.021229767607e-01      8.378867109724e-02      1.814290172479e-01      3.081546648857e-02      2.905052906852e-02      3.379324614279e-01
      1.013472222222e+02      1.263897177462e+00      7.894928411003e-02      3.524573035801e-01      5.007187050243e-01      8.107239327859e-01      4.239636322706e-01      3.068035242327e-02      2.586577100224e-02      1.011971647704e-01      8.296816668525e-02      1.522264616610e-01      3.087328641265e-02      2.764718286141e-02      2.766975183888e-01
      1.013541666667e+02      1.228899783752e+00      7.852393515017e-02      3.446747054304e-01      5.024480216652e-01      7.992910753368e-01      4.198820295985e-01      2.888148922132e-02      2.555941010973e-02      1.002713527801e-01      8.214766227327e-02      1.230239060742e-01      3.093110633673e-02      2.624383665430e-02      2.154625753498e-01
      1.013611111111e+02      1.193902390042e+00      7.809858619032e-02      3.368921072806e-01      5.041773383061e-01      7.878582178877e-01      4.158004269264e-01      2.708262601937e-02      2.525304921722e-02      9.934554078971e-02      8.132715786128e-02      9.382135048731e-02      3.098892626081e-02      2.484049044720e-02      1.542276323109e-01
      1.013680555556e+02      1.158904996332e+00      7.767323723047e-02      3.291095091309e-01      5.059066549470e-01      7.764253604386e-01      4.117188242543e-01      2.528376281742e-02      2.494668832471e-02      9.841972879937e-02      8.050665344930e-02      6.461879490045e-02      3.104674618489e-02      2.343714424009e-02      9.299268927188e-02
      1.013750000000e+02      1.143916574355e+00      7.746502993623e-02      3.260065834143e-01      5.022830128923e-01      7.719214361257e-01      4.087257804987e-01      2.448883295667e-02      2.445551168612e-02      9.823627560932e-02      8.031320275943e-02      5.167213815905e-02      3.066665705593e-02      2.293541179844e-02      6.627487038775e-02
      1.013819444444e+02      1.143161573800e+00      7.741128679318e-02      3.262325518930e-01      4.948515331344e-01      7.723464220357e-01      4.065070852706e-01      2.415699363374e-02      2.383286600282e-02      9.858090081285e-02      8.056580796887e-02      5.028914705382e-02      2.997506046027e-02      2.307504408329e-02      6.411087570269e-02
      1.013888888889e+02      1.142406573244e+00      7.735754365014e-02      3.264585203716e-01      4.874200533766e-01      7.727714079457e-01      4.042883900425e-01      2.382515431080e-02      2.321022031953e-02      9.892552601638e-02      8.081841317831e-02      4.890615594859e-02      2.928346386460e-02      2.321467636814e-02      6.194688101764e-02
      1.013958333333e+02      1.141651572689e+00      7.730380050709e-02      3.266844888502e-01      4.799885736187e-01      7.731963938558e-01      4.020696948145e-01      2.349331498787e-02      2.258757463623e-02      9.927015121992e-02      8.107101838775e-02      4.752316484336e-02      2.859186726894e-02      2.335430865298e-02      5.978288633258e-02
      1.014027777778e+02      1.140896572134e+00      7.725005736404e-02      3.269104573288e-01      4.725570938609e-01      7.736213797658e-01      3.998509995864e-01      2.316147566494e-02      2.196492895293e-02      9.961477642345e-02      8.132362359719e-02      4.614017373813e-02      2.790027067327e-02      2.349394093783e-02      5.761889164753e-02
      1.014097222222e+02      1.140141571578e+00      7.719631422099e-02      3.271364258074e-01      4.651256141030e-01      7.740463656758e-01      3.976323043584e-01      2.282963634200e-02      2.134228326964e-02      9.995940162698e-02      8.157622880663e-02      4.475718263289e-02      2.720867407760e-02      2.363357322267e-02      5.545489696247e-02
      1.014166666667e+02      1.139386571023e+00      7.714257107794e-02      3.273623942860e-01      4.576941343452e-01      7.744713515858e-01      3.954136091303e-01      2.249779701907e-02      2.071963758634e-02      1.003040268305e-01      8.182883401607e-02      4.337419152766e-02      2.651707748194e-02      2.377320550752e-02      5.329090227741e-02
      1.014236111111e+02      1.138631570468e+00      7.708882793489e-02      3.275883627646e-01      4.502626545873e-01      7.748963374958e-01      3.931949139023e-01      2.216595769613e-02      2.009699190304e-02      1.006486520340e-01      8.208143922551e-02      4.199120042243e-02      2.582548088627e-02      2.391283779237e-02      5.112690759236e-02
      1.014305555556e+02      1.137876569912e+00      7.703508479185e-02      3.278143312433e-01      4.428311748295e-01      7.753213234058e-01      3.909762186742e-01      2.183411837320e-02      1.947434621975e-02      1.009932772376e-01      8.233404443495e-02      4.060820931720e-02      2.513388429061e-02      2.405247007721e-02      4.896291290730e-02
      1.014375000000e+02      1.137121569357e+00      7.698134164880e-02      3.280402997219e-01      4.353996950716e-01      7.757463093158e-01      3.887575234461e-01      2.150227905026e-02      1.885170053645e-02      1.013379024411e-01      8.258664964439e-02      3.922521821197e-02      2.444228769494e-02      2.419210236206e-02      4.679891822225e-02
      1.014444444444e+02      1.136366568802e+00      7.692759850575e-02      3.282662682005e-01      4.279682153138e-01      7.761712952258e-01      3.865388282181e-01      2.117043972733e-02      1.822905485315e-02      1.016825276446e-01      8.283925485383e-02      3.784222710674e-02      2.375069109927e-02      2.433173464690e-02      4.463492353719e-02
      1.014513888889e+02      1.135611568246e+00      7.687385536270e-02      3.284922366791e-01      4.205367355559e-01      7.765962811359e-01      3.843201329900e-01      2.083860040439e-02      1.760640916986e-02      1.020271528482e-01      8.309186006326e-02      3.645923600151e-02      2.305909450361e-02      2.447136693175e-02      4.247092885214e-02
      1.014583333333e+02      1.134856567691e+00      7.682011221965e-02      3.287182051577e-01      4.131052557981e-01      7.770212670459e-01      3.821014377620e-01      2.050676108146e-02      1.698376348656e-02      1.023717780517e-01      8.334446527270e-02      3.507624489628e-02      2.236749790794e-02      2.461099921659e-02      4.030693416708e-02
      1.014652777778e+02      1.134101567136e+00      7.676636907660e-02      3.289441736363e-01      4.056737760402e-01      7.774462529559e-01      3.798827425339e-01      2.017492175853e-02      1.636111780327e-02      1.027164032552e-01      8.359707048214e-02      3.369325379105e-02      2.167590131228e-02      2.475063150144e-02      3.814293948203e-02
