#Compound                    Mass                        parameter_A              parameter_B              surface_tension   
MVKOHANO3                    165.101500000000            10.002406034749          4938.747336864448        0.05
C137CO3                      269.313500000000            10.473507152462          5146.656604763815        0.05
C829OH                       174.194400000000            10.924033800270          5303.472082449137        0.05
C825OH                       174.194400000000            12.450912674672          6721.906146638405        0.05
HC4ACO2H                     116.115200000000             9.619083088727          4757.985710299345        0.05
C134OH                       272.294300000000            13.616468996897          7336.644919516554        0.05
C1313O                       241.303400000000            10.783630646982          5293.676450853550        0.05
C132OH                       242.311400000000            11.664169453768          6104.533268839017        0.05
C126CO2H                     224.296100000000            11.058265473332          5532.813459591152        0.05
C126OO                       226.268900000000             8.892728360172          4450.979157220234        0.05
LIMBOOH                      186.248100000000            10.458737230813          5266.334946834470        0.05
C1215CO                      242.268300000000            12.422296031908          6380.660686474525        0.05
C624CO2H                     144.168400000000            10.768243538396          5430.667663411737        0.05
C7PAN3                       233.132400000000             9.366150901382          4643.467085635634        0.05
C621O                        161.132700000000            10.650184049735          5071.333853388381        0.05
LMLKAOOH                     202.204500000000            10.524508700266          5478.358114932874        0.05
LIMALO                       201.239600000000            10.382044043980          5096.230672698736        0.05
BCALOO                       254.322100000000             9.603827915290          4952.803606026283        0.05
C811OOH                      174.194400000000            10.532520427961          5293.810732911124        0.05
INAHPCHO                     195.127500000000            11.016966185341          5578.493206682944        0.05
INANCHO                      224.125600000000            11.063242668900          5334.616228379502        0.05
C137O                        225.304000000000            10.117957391990          4895.744385251254        0.05
C87CO3H                      216.188000000000            10.455372763418          5138.202931446291        0.05
C728OOH                      178.183100000000            12.767084360256          6844.158114180790        0.05
C536OOH                      182.042600000000            11.660415206395          6413.277511925658        0.05
BCLKET                       238.322700000000             9.603827915290          4952.803606026283        0.05
C139O2                       257.302800000000            12.125635655217          6288.301623510558        0.05
C1211OOH                     244.284200000000            12.895027613429          6934.528703111599        0.05
C530OOH                      134.130500000000            10.103827272545          4949.776430598433        0.05
INB2O                        180.136000000000            10.585249434646          5038.002028466854        0.05
LMLKBOH                      186.205100000000            10.487510035264          5332.230242250826        0.05
BCSOZOOH                     302.363300000000            13.853345134301          7226.007200228312        0.05
C625OH                       148.157100000000            10.433942472904          5386.007945501741        0.05
C1210OOH                     228.284800000000            10.797610889225          5466.537543783727        0.05
