#Compound                    Mass               C   O   N   H   S  Cl  Br
C525OOH                      166.129300000000   5   6   0  10   0   0   0
C534OOH                      180.112800000000   5   7   0   8   0   0   0
C137CO2H                     254.322100000000  14   4   0  22   0   0   0
C921OOH                      204.220300000000   9   5   0  16   0   0   0
BCLKBO                       253.314100000000  14   4   0  21   0   0   0
C3DIOLOOH                    108.093200000000   3   4   0   8   0   0   0
INAHPCO3                     226.118300000000   5   9   1   8   0   0   0
NORLIMO2                     203.212400000000   9   5   0  15   0   0   0
BPINCOOH                     186.248100000000  10   3   0  18   0   0   0
C614NO3                      191.138800000000   6   6   1   9   0   0   0
C519OOH                      134.130500000000   5   4   0  10   0   0   0
C58NO3CO3                    210.118900000000   5   8   1   8   0   0   0
C811OH                       158.195000000000   8   3   0  14   0   0   0
INAHPCO3H                    227.126300000000   5   9   1   9   0   0   0
C1312OOH                     258.310800000000  13   5   0  22   0   0   0
C146OH                       254.322100000000  14   4   0  22   0   0   0
NC72OOH                      233.132400000000   7   8   1   7   0   0   0
C818CO                       172.178500000000   8   4   0  12   0   0   0
H3C25CCO2H                   174.151300000000   7   5   0  10   0   0   0
C146O2                       269.313500000000  14   5   0  21   0   0   0
H3C25C6OOH                   162.140600000000   6   5   0  10   0   0   0
C1310OOH                     274.310200000000  13   6   0  22   0   0   0
MACRNCO2H                    165.101500000000   4   6   1   7   0   0   0
BCBOCOO                      270.321500000000  14   5   0  22   0   0   0
INANCO3H                     256.124400000000   5  10   2   8   0   0   0
H3C25C6PAN                   235.148300000000   7   8   1   9   0   0   0
C144O2                       271.329400000000  14   5   0  23   0   0   0
H3C25C6OH                    146.141200000000   6   4   0  10   0   0   0
C732OH                       160.167800000000   7   4   0  12   0   0   0
INB1O                        180.136000000000   5   6   1  10   0   0   0
NC6PAN1                      294.129300000000   7  11   2   6   0   0   0
INCNCHO                      224.125600000000   5   8   2   8   0   0   0
INANPAN                      301.122000000000   5  12   3   7   0   0   0
INB1HPCO2H                   211.126900000000   5   8   1   9   0   0   0
HIEB1O2                      165.121400000000   5   6   0   9   0   0   0
C9DCOOH                      184.189200000000   9   4   0  12   0   0   0
INB1NBCO3H                   256.124400000000   5  10   2   8   0   0   0
NC61CO3H                     249.131800000000   7   9   1   7   0   0   0
C517OOH                      134.130500000000   5   4   0  10   0   0   0
C827CO2H                     186.205100000000   9   4   0  14   0   0   0
C137CO3H                     270.321500000000  14   5   0  22   0   0   0
C134OOH                      288.293700000000  13   7   0  20   0   0   0
C734O                        175.159200000000   7   5   0  11   0   0   0
C825CO                       172.178500000000   8   4   0  12   0   0   0
C1215O                       243.276300000000  12   5   0  19   0   0   0
NC524NO3                     242.140900000000   5   9   2  10   0   0   0
NC102OOH                     261.228600000000  10   7   1  15   0   0   0
NC730OOH                     223.180600000000   7   7   1  13   0   0   0
C148O                        269.138800000000  14   5   0  21   0   0   0
C518CO2H                     130.141800000000   6   3   0  10   0   0   0
H13CO2CO3H                   150.086800000000   4   6   0   6   0   0   0
C1213OH                      260.283600000000  12   6   0  20   0   0   0
C516OOH                      164.113400000000   5   6   0   8   0   0   0
NC623OOH                     209.154000000000   6   7   1  11   0   0   0
C139O                        241.303400000000  13   4   0  21   0   0   0
HMVKNO3                      165.101500000000   4   6   1   7   0   0   0
