3.9583333333333331e-01 2.7671263107667632e+09 5.6203841362480664e+08  7.1854706383607283e+07  2.0896427948451705e+09  4.6830511120376563e+08  7.7008504352395222e+07  1.0985019360448166e+06  8.7839475091527157e+09 1.1324097275469547e+10 1.3688522561051192e+07 1.1195780730115904e+10
4.1666666666666663e-01 2.6983645971018691e+09 5.3056423913024664e+08  7.5004037319228172e+07  2.0276490261882355e+09  5.4109269392029583e+08  8.2711167342832536e+07  1.1545237989601030e+06  9.5997258495525665e+09 1.2822822674310209e+10 1.4283681177924514e+07 1.2300591404601055e+10
4.3749999999999994e-01 2.9143207580235996e+09 5.7739529269603610e+08  8.6177991186548933e+07  2.2531420509122233e+09  6.6790310333345604e+08  9.5991129074120343e+07  1.2085728536117827e+06  1.0790773608464840e+10 1.3533263581046244e+10 1.5735447995083001e+07 1.3487582692360630e+10
4.5833333333333331e-01 3.1497453784728065e+09 6.2809525048338854e+08  9.3993079512049064e+07  2.4722524147815733e+09  7.8574838012856102e+08  1.0903465700362982e+08  1.3266414469535199e+06  1.2119322896831930e+10 1.4153768698400780e+10 1.7621253234999269e+07 1.4792913841712391e+10
4.7916666666666663e-01 3.3080424353664179e+09 6.5803218914600062e+08  9.6667855467500985e+07  2.5875731623982573e+09  8.6816275616219270e+08  1.1834197474275610e+08  1.4880756314938422e+06  1.3509161102924267e+10 1.4961822729429272e+10 1.9737418958563659e+07 1.6302970989959574e+10
4.9999999999999994e-01 3.4771215284213977e+09 6.9171168573703146e+08  1.0204748324087073e+08  2.7250373830055451e+09  9.5635331401631606e+08  1.2723522074068324e+08  1.5852344084197069e+06  1.4952182862733955e+10 1.5715109009922707e+10 2.2084848556861445e+07 1.7899635055165276e+10
5.2083333333333337e-01 3.6572919012549849e+09 7.2788830966576290e+08  1.0651340424184081e+08  2.8664412640270529e+09  1.0359294494914140e+09  1.3561783698579067e+08  1.7274360054580723e+06  1.6466326478746403e+10 1.6562166456971930e+10 2.4724277331830986e+07 1.9619645925641338e+10
5.4166666666666674e-01 3.8137692838428688e+09 7.5842184026290095e+08  1.1116980579321676e+08  2.9881125170280890e+09  1.0999745136183748e+09  1.4188982479182947e+08  1.8898617149189338e+06  1.7978114695107731e+10 1.7508298108796955e+10 2.7526970765402630e+07 2.1455900170535255e+10
5.6250000000000000e-01 3.8846523275398388e+09 7.6857509633215976e+08  1.1070655401980899e+08  3.0176812434431114e+09  1.1160438983925471e+09  1.4357585707295966e+08  1.9433072403810297e+06  1.9471848351536640e+10 1.8814026226703526e+10 3.0541934926851489e+07 2.3506193219960796e+10
5.8333333333333337e-01 3.9567669181271849e+09 7.8184816361909497e+08  1.1303244077397659e+08  3.0636109869248304e+09  1.1337726461288822e+09  1.4473681480197003e+08  2.0294898066259800e+06  2.1005361857475941e+10 2.0265118271072281e+10 3.3739693471245766e+07 2.5770990098798866e+10
6.0416666666666674e-01 4.1767023725848079e+09 8.3869966776149142e+08  1.2401239973724760e+08  3.2925861463765073e+09  1.1524237293367796e+09  1.4779548154352853e+08  2.0371894380351729e+06  2.2455676086240135e+10 2.1427507571849422e+10 3.7175215211797617e+07 2.7901238237226433e+10
6.2500000000000000e-01 4.4110263612904444e+09 9.0107868508833158e+08  1.3194749529570624e+08  3.5279791221474180e+09  1.2010895967231159e+09  1.5362971051835668e+08  2.1128398057183223e+06  2.3915002868333015e+10 2.2422604281684574e+10 4.0933420188658215e+07 2.9970775062984985e+10
6.4583333333333337e-01 4.6298235049019976e+09 9.5940258415830219e+08  1.3873955870662171e+08  3.7410516995228806e+09  1.2722859120244086e+09  1.6000693770027858e+08  2.2095689220800786e+06  2.5409930727391014e+10 2.3261301246430290e+10 4.5091535050452933e+07 3.2072363970831314e+10
6.6666666666666674e-01 4.8991754752121267e+09 1.0388128135919526e+09  1.4914274604382059e+08  4.0325244235635548e+09  1.2882721694637628e+09  1.6298199998144692e+08  2.1425268249842511e+06  2.6773410958042999e+10 2.3962848114346806e+10 4.9724946421881452e+07 3.4068570817765869e+10
6.8750000000000000e-01 5.1652915312948370e+09 1.1298077498088963e+09  1.5927476136399707e+08  4.3438813709819860e+09  1.2574708270063963e+09  1.6314030244268057e+08  2.0473805805949864e+06  2.7979651871408875e+10 2.4635388323637512e+10 5.4714062051295422e+07 3.5935738861635506e+10
7.0833333333333337e-01 5.2252303097242775e+09 1.1609892120481319e+09  1.5546591372348922e+08  4.4052756326374321e+09  1.2562988253694725e+09  1.6460809305117732e+08  2.0586765582175385e+06  2.9246310216070190e+10 2.5517524774956375e+10 5.9984983519487202e+07 3.7922176684202698e+10
7.2916666666666674e-01 5.3258003514874992e+09 1.2059018074270158e+09  1.5917355338398185e+08  4.5335540835494871e+09  1.2046559897307773e+09  1.6061825001742736e+08  1.9491156215818438e+06  3.0369154462609898e+10 2.6356375843010345e+10 6.5486431629818507e+07 3.9898751596833870e+10
7.5000000000000000e-01 5.5594305567498837e+09 1.2996549925973549e+09  1.6999274927453563e+08  4.8442085800952158e+09  1.1453633720569563e+09  1.5678886446375182e+08  1.8173250266160422e+06  3.1380321564162567e+10 2.6986032744021183e+10 7.1255960807391509e+07 4.1664073967246902e+10
7.7083333333333337e-01 5.9160315966577978e+09 1.4344840781228271e+09  1.8630526855958310e+08  5.3144100006433687e+09  1.0369424112274697e+09  1.4744967779422432e+08  1.6769888630162547e+06  3.2203202483797279e+10 2.7655879017848618e+10 7.7289897613701582e+07 4.3327414173191864e+10
7.9166666666666674e-01 6.3040709688835964e+09 1.5894508662865720e+09  2.0160782818535274e+08  5.8193683760173216e+09  9.6042196349314141e+08  1.4069677907177714e+08  1.4729830699441878e+06  3.3051936049871727e+10 2.8350560042293274e+10 8.3579333399842739e+07 4.4995692519500916e+10
8.1250000000000000e-01 6.6604436941019421e+09 1.7386402393670299e+09  2.1659724480880553e+08  6.2974746702087727e+09  8.7273729374300575e+08  1.3197399731367910e+08  1.3048252428540944e+06  3.3789795692499168e+10 2.9024105771888008e+10 8.9926740830553636e+07 4.6549538594199356e+10
8.3333333333333337e-01 7.4044585564187651e+09 1.9812860375301180e+09  2.4724551842724952e+08  7.1785485709783363e+09  8.0062218518384135e+08  1.2435891271344090e+08  1.0397204950457199e+06  3.4704051703121048e+10 2.9851498282875038e+10 9.6627091925529391e+07 4.8359686070657196e+10
8.5416666666666674e-01 8.4819140379442425e+09 2.3161613188996124e+09  2.8835802909817863e+08  8.4066584138962898e+09  7.2999874220971477e+08  1.1624733202387989e+08  7.4823118361557089e+05  3.5801956724561928e+10 3.0807235682115799e+10 1.0383609843643704e+08 5.0486212449695251e+10
8.7500000000000000e-01 9.4657673081665840e+09 2.6489035816786404e+09  3.2251673940939522e+08  9.5633986549436035e+09  6.5222161774741149e+08  1.0682157708498737e+08  6.8667436740178312e+05  3.6844246034149368e+10 3.1774524425819420e+10 1.1129972537144507e+08 5.2586335805753387e+10
8.9583333333333337e-01 1.0537483628168571e+10 3.0227835337422495e+09  3.5373770691888756e+08  1.0814388233901789e+10  5.9456849259961915e+08  9.9682488026434392e+07  5.0273132599960396e+05  3.8090256176642090e+10 3.2831415298651627e+10 1.1940959757061160e+08 5.4965521042024826e+10
9.1666666666666663e-01 1.1219365026721493e+10 3.3207916357140818e+09  3.6501675509217334e+08  1.1690479249659130e+10  5.4465658049345028e+08  9.3301129069606528e+07  3.9756064634695038e+05  3.9217977242458977e+10 3.3866685399257256e+10 1.2780781507141781e+08 5.7165022248355820e+10
9.3750000000000000e-01 1.1143663324342098e+10 3.4717260800654011e+09  3.4677612779528040e+08  1.1710801942513865e+10  5.0450963834225470e+08  8.8186356706353053e+07  3.5316239943530189e+05  4.0045611262570206e+10 3.4777124983318314e+10 1.3586892552038535e+08 5.8922170152096298e+10
9.5833333333333337e-01 1.0390399321390219e+10 3.4505580700559635e+09  3.1060064339988965e+08  1.0939566812115379e+10  4.7050831308493793e+08  8.3957594151844844e+07  3.2906962972933630e+05  4.0469532009210907e+10 3.5480231932743607e+10 1.4312317975847027e+08 6.0000366491294113e+10
9.7916666666666663e-01 9.3483708104469528e+09 3.3002293292039633e+09  2.7422743907397896e+08  9.8569844164213791e+09  4.4119488184148920e+08  8.0355275842812061e+07  3.3130689273832418e+05  4.0503367675291473e+10 3.5941575932321320e+10 1.4930945665611520e+08 6.0403357727845940e+10
1.0000000000000000e+00 8.7781000794846268e+09 3.2193324908548579e+09  2.5997851224422061e+08  9.2503356846939964e+09  4.1500582092556131e+08  7.7116871717630759e+07  3.3415044215137063e+05  4.0670767339974411e+10 3.6399335006431046e+10 1.5527650647572654e+08 6.0953996235047073e+10
