#Compound                    Mass               C   O   N   H   S  Cl  Br
C718CO3H                     188.177900000000   4   7   1   3   0   0   0
DNCRES                       198.132900000000   9   4   0  14   0   0   0
C526OOH                      166.129300000000   7   5   0  14   0   0   0
C721PAN                      233.175400000000   5   3   0   8   0   0   0
CO235C6OOH                   160.124700000000   7   3   0  10   0   0   0
NDNPHENO                     294.109500000000   5   5   0   9   0   0   0
INAHCHO                      179.128100000000   3   4   0   6   0   0   0
C732OOH                      176.167200000000   3   5   1   5   0   0   0
C615CO2H                     158.151900000000   3   3   0   3   0   0   0
INDOOH                       197.143300000000   9   3   0  13   0   0   0
C536O                        165.039900000000   9   4   0  13   0   0   0
C58OOH                       150.129900000000   5   4   0   8   0   0   0
INB1GLYOX                    177.112200000000   6   8   1   5   0   0   0
C727CO3H                     188.177900000000   5   5   0   9   0   0   0
C926OOH                      202.204500000000   7   5   0  10   0   0   0
C925O                        203.212400000000   5   4   0   8   0   0   0
INCOOH                       197.143300000000   1   0   0  70   0   0   0
C922OOH                      220.219700000000   5   2   0   6   0   0   0
C622CO2H                     144.168400000000   5   6   1  10   0   0   0
NBPINBOOH                    231.245700000000   9   4   0  14   0   0   0
INANCOCHO                    222.109700000000   6   4   0   8   0   0   0
NNCATECO2                    281.110700000000   6   9   2   5   0   0   0
C822CO2H                     170.205700000000   7   6   1  12   0   0   0
INAOH                        181.143900000000   6   4   0  12   0   0   0
NDNCRESOOH                   325.143400000000   4   5   0   8   0   0   0
INCOH                        181.143900000000   5   4   0   8   0   0   0
C623OOH                      164.156500000000   5   6   0   5   0   0   0
C519CO3H                     162.140600000000   5   2   0   6   0   0   0
LMKAOH                       172.221500000000   5   5   0   4   0   0   0
BPINBNO3                     215.246300000000   5   5   0   6   0   0   0
BZEMUCNO3                    205.122300000000   5   7   1  11   0   0   0
C533OOH                      164.113400000000   5   8   1  10   0   0   0
BPINANO3                     215.246300000000   5   4   1   8   0   0   0
TLEMUCNO3                    219.148900000000   5   8   1   9   0   0   0
BPINCNO3                     215.246300000000   5   4   0   6   0   0   0
PINALNO3                     229.229800000000   6   5   0   7   0   0   0
C825OOH                      190.193800000000   0   4   1  76   0   0   0
NPHENOH                      205.122300000000  10   6   1  14   0   0   0
C922O                        203.212400000000   9   4   0  14   0   0   0
C87OH                        172.178500000000   6   4   0   9   0   0   0
C57NO3CO3H                   211.126900000000   7   6   1  11   0   0   0
C719NO3                      205.165300000000   4   6   0   5   0   0   0
C823OH                       158.195000000000   5   4   0   9   0   0   0
C58NO3CO2H                   195.127500000000   5   7   1   7   0   0   0
C6CO2OHPAN                   233.132400000000   5   5   0   8   0   0   0
C733OH                       160.167800000000   5   5   0   5   0   0   0
NPHEN1OOH                    155.108200000000   4   5   0   6   0   0   0
C811NO3                      203.192500000000   5   6   1   8   0   0   0
MCATEC1OOH                   140.136600000000  10   5   0  16   0   0   0
INDHCO3H                     211.126900000000  10   5   1  16   0   0   0
BZBIPEROOH                   160.124700000000   5   9   2   8   0   0   0
C57OOH                       150.129900000000   5   4   0   7   0   0   0
HIEB2O2                      165.121400000000   7  10   2   7   0   0   0
INCGLYOX                     177.112200000000   7   5   0  10   0   0   0
C510OOH                      195.127500000000   4   8   1   5   0   0   0
KLIMONONIC                   186.205100000000   2   8   2   2   0   0   0
HPNC524CO                    211.126900000000   5   3   0   9   0   0   0
BZEMUCOH                     160.124700000000   5   4   0  10   0   0   0
C626CO2H                     158.151900000000   5   9   1   9   0   0   0
H13CO2CHO                    118.088000000000   5   6   0   6   0   0   0
C628OH                       146.141200000000   4   5   0   4   0   0   0
NDNPHENOOH                   311.116800000000   4   3   0   7   0   0   0
MNCATECOOH                   251.147700000000   5   4   0   9   0   0   0
C517CO2H                     146.141200000000  10   5   1  17   0   0   0
INCNCO2H                     240.125000000000   5   3   0  10   0   0   0
CRESOH                       174.151300000000   5   3   0   5   0   0   0
NC91CO3H                     245.229200000000   5   5   0   7   0   0   0
LIMALBOH                     184.232200000000   4   6   1   7   0   0   0
C732CO                       158.151900000000   7   2   0  10   0   0   0
MMALNACO2H                   193.111600000000   8   4   0  14   0   0   0
C728OH                       162.183700000000   9   2   0  14   0   0   0
INANCO                       224.125600000000   9   4   0  12   0   0   0
C44OOH                       134.087400000000   5   4   0   5   0   0   0
LIMCOOH                      186.248100000000   5   3   0   8   0   0   0
MACRNBCO2H                   165.101500000000   5   6   1   5   0   0   0
C516O                        147.106100000000   5   3   0   7   0   0   0
C58AOOH                      150.129900000000   4   3   0   5   0   0   0
HMVKBCO2H                    132.114600000000   3   4   0   4   0   0   0
DNPHENO2                     265.111300000000  10   5   1  14   0   0   0
NC71OOH                      219.148900000000   9   2   0  15   0   0   0
C915OOH                      186.205100000000   5   9   2   8   0   0   0
C57NO3CO2H                   195.127500000000   3   3   0   4   0   0   0
BZEMUCCO                     158.108800000000   8   1   0  13   0   0   0
C732CO3H                     204.177300000000   5   6   1   5   0   0   0
NC4DCO2H                     145.070300000000   5   8   1   8   0   0   0
INDHCHO                      179.128100000000   9   5   0  11   0   0   0
NC4MDCO2H                    159.096900000000   5   3   0   6   0   0   0
C914OOH                      200.188600000000   5   6   0  10   0   0   0
LMLKAOH                      186.205100000000   5   7   0   8   0   0   0
INCNCO3H                     256.124400000000   9   5   0  16   0   0   0
