#Compound                    Mass                        parameter_A              parameter_B
NC6PAN1                      294.129300000000            10.955461132284          5531.866357321140
INANPAN                      301.122000000000            12.664470991994          6367.757840776003
TLFUOOH                      148.114000000000            10.791722392019          5344.057031229906
C9DCOOH                      184.189200000000            10.933943210681          5216.138449710229
INB1NBCO3H                   256.124400000000            13.729414651428          6992.129505465149
IPRBQO2                      199.180600000000             9.162883450234          4582.074313317428
MXYBPER2OH                   172.178500000000            10.058763558527          4916.256074454001
C827CO2H                     186.205100000000            10.571542989724          5258.782120217538
EMPONO2OOH                   263.201400000000            11.803805930861          6295.704148972884
TM123BPOOH                   202.204500000000            10.927583743127          5484.153675318550
TM124OLOOH                   218.203900000000            12.401188978948          6669.328996984133
EBZMUCCO2H                   170.162600000000            10.560943382652          5306.349851514509
MXYQOOH                      186.162000000000            11.452516914378          6206.947641551800
HO36C11                      188.307100000000            10.289518127192          5159.660834907706
HO36C10                      174.280500000000             9.933968355255          4908.748612116292
C1213OH                      260.283600000000            15.237789246682          8323.063638675916
NC623OOH                     209.154000000000            10.460796705519          5179.294782598524
C7MJPCO3H                    216.188000000000            10.422005639741          5446.372683594915
C1213O2                      275.275100000000            13.692938442857          7119.034279973519
OXYQOH                       170.162600000000            10.742157293979          5708.588790850104
C133CO                       256.294900000000            12.777845800108          6631.572908195720
C151OOH                      302.363300000000            15.686795624812          8916.119518587315
H134M3C5                     134.173600000000             9.697783601537          4781.722882684330
C623NO3                      193.154600000000            10.274743400511          4940.618426721945
BCLKCO                       253.314100000000             8.926710887872          4525.000869733869
PC3ODBCO2H                   142.152500000000             9.513439853591          4673.915803947394
C6COOHCO3H                   188.134800000000             9.710906098629          4944.548238799876
NPETLQOOH                    245.186100000000            12.841081024939          6804.890215215289
TLEMUCOOH                    190.150700000000            10.484994950843          5447.452295131616
DNOXYOLOOH                   294.172400000000            12.045639192651          6418.416770079857
LMLKBOOH                     202.204500000000            10.635352477216          5570.906594199626
C57OH                        134.130500000000             9.267234374101          4619.161649916813
MNNCATECO                    279.137900000000            12.225457065920          6123.855075052067
NBCALOH                      315.362100000000            10.174022607121          5140.799685606848
C7DCOH                       160.167800000000             8.971837803319          4475.023142381015
IPBZBPROOH                   202.204500000000            11.672157969728          5950.327004717814
PNNCATECO2                   323.190400000000            12.936556617562          6625.679522861957
NAPINBOOH                    231.245700000000            11.348155826329          5360.544637128662
C717OOH                      174.151300000000            10.467966679951          5119.294649133179
C826OH                       174.194400000000            10.541595236088          5353.656122478619
C7DDCOOH                     176.167200000000             9.682197401408          4973.381986693613
BCLKCCO                      252.306200000000            10.257786830571          5137.694248705916
PEBQCO                       170.162600000000            10.002569456185          4886.297361929353
NMETLQO                      228.178800000000             9.683349318427          4929.104669293543
C6COALCO2H                   144.125300000000            10.169956421251          5061.336351948437
NDNOETLOOH                   353.196500000000            13.402811500034          7016.359351786190
OXYMUCOOH                    204.177300000000            10.618857140984          5513.267551409645
C728NO3                      207.181200000000            10.630293173999          5191.530649958860
