#Compound                    Mass               C   O   N   H   S  Cl  Br
MACROOH                      120.103900000000   4   4   0   8   0   0   0
NDNPHENO2                    310.108900000000   6  12   3   4   0   0   0
TLEMUCOH                     174.151300000000   7   5   0  10   0   0   0
C625OH                       148.157100000000   6   4   0  12   0   0   0
INAHPCO2H                    211.126900000000   5   8   1   9   0   0   0
C811OOH                      174.194400000000   8   4   0  14   0   0   0
INANCO2H                     240.125000000000   5   9   2   8   0   0   0
C914OH                       184.189200000000   9   4   0  12   0   0   0
INB1NBCO2H                   240.125000000000   5   9   2   8   0   0   0
C921OOH                      204.220300000000   9   5   0  16   0   0   0
C734OOH                      192.166600000000   7   6   0  12   0   0   0
NNCATECOOH                   282.118600000000   6  11   2   6   0   0   0
C818CO                       172.178500000000   8   4   0  12   0   0   0
MACRNCO2H                    165.101500000000   4   6   1   7   0   0   0
NDNCRESOOH                   325.143400000000   7  12   3   7   0   0   0
H3C25C6OH                    146.141200000000   6   4   0  10   0   0   0
C732OH                       160.167800000000   7   4   0  12   0   0   0
TLBIPEROOH                   174.151300000000   7   5   0  10   0   0   0
C825CO                       172.178500000000   8   4   0  12   0   0   0
NC524NO3                     242.140900000000   5   9   2  10   0   0   0
NC102OOH                     261.228600000000  10   7   1  15   0   0   0
PXYFUOH                      132.114600000000   5   4   0   8   0   0   0
INDOH                        181.143900000000   5   6   1  11   0   0   0
C721OOH                      160.167800000000   7   4   0  12   0   0   0
C826OOH                      190.193800000000   8   5   0  14   0   0   0
BZEMUCOOH                    176.124100000000   6   6   0   8   0   0   0
HOPINONIC                    200.231600000000  10   4   0  16   0   0   0
C719OOH                      176.167200000000   7   5   0  12   0   0   0
C730OOH                      178.183100000000   7   5   0  14   0   0   0
LIMALO                       201.239600000000  10   4   0  17   0   0   0
NPXYFUOOH                    193.111600000000   5   7   1   7   0   0   0
C515CO3H                     174.108200000000   6   6   0   6   0   0   0
C58OH                        134.130500000000   5   4   0  10   0   0   0
C59OOH                       150.129900000000   5   5   0  10   0   0   0
MNNCATCOOH                   296.145200000000   7  11   2   8   0   0   0
C628OH                       146.141200000000   6   4   0  10   0   0   0
NCATECOOH                    237.121100000000   6   9   1   7   0   0   0
MMALNACO2H                   193.111600000000   5   7   1   7   0   0   0
C621O2                       177.132100000000   6   6   0   9   0   0   0
C919NO3                      231.202600000000   9   6   1  13   0   0   0
C926OH                       186.205100000000   9   4   0  14   0   0   0
INB1NACO3H                   256.124400000000   5  10   2   8   0   0   0
C920OOH                      188.220900000000   9   4   0  16   0   0   0
C813O                        189.185800000000   8   5   0  13   0   0   0
INB2OOH                      197.143300000000   5   7   1  11   0   0   0
C824OOH                      174.194400000000   8   4   0  14   0   0   0
INB1HPCHO                    195.127500000000   5   7   1   9   0   0   0
APINCNO3                     215.246300000000  10   4   1  17   0   0   0
BZEMUCCO2H                   142.109400000000   6   4   0   6   0   0   0
C98OOH                       204.220300000000   9   5   0  16   0   0   0
C730OH                       162.183700000000   7   4   0  14   0   0   0
MVKOHAOOH                    136.103300000000   4   5   0   8   0   0   0
C819OOH                      190.193800000000   8   5   0  14   0   0   0
C824OH                       158.195000000000   8   3   0  14   0   0   0
C57AOOH                      150.129900000000   5   5   0  10   0   0   0
C525O2                       165.121400000000   5   6   0   9   0   0   0
NC101OOH                     245.229200000000  10   6   1  15   0   0   0
C817OOH                      174.194400000000   8   4   0  14   0   0   0
C813OOH                      206.193200000000   8   6   0  14   0   0   0
C51OOH                       134.130500000000   5   4   0  10   0   0   0
C87CO2H                      200.188600000000   9   5   0  12   0   0   0
MALANHYOOH                   148.071000000000   4   6   0   4   0   0   0
C811CO3H                     202.204500000000   9   5   0  14   0   0   0
INAHCO2H                     195.127500000000   5   7   1   9   0   0   0
C616OOH                      160.124700000000   6   5   0   8   0   0   0
DNCRES                       198.132900000000   1   5   2  78   0   0   0
C526OOH                      166.129300000000   5   6   0  10   0   0   0
C721PAN                      233.175400000000   8   7   1  11   0   0   0
INDOOH                       197.143300000000   5   7   1  11   0   0   0
NBPINBOOH                    231.245700000000  10   5   1  17   0   0   0
INANCOCHO                    222.109700000000   5   8   2   6   0   0   0
INAOH                        181.143900000000   5   6   1  11   0   0   0
BPINBNO3                     215.246300000000  10   4   1  17   0   0   0
TLEMUCNO3                    219.148900000000   7   7   1   9   0   0   0
C825OOH                      190.193800000000   8   5   0  14   0   0   0
C922O                        203.212400000000   9   5   0  15   0   0   0
HC23C4CO3H                   162.097500000000   5   6   0   6   0   0   0
C717NO3                      203.149500000000   7   6   1   9   0   0   0
INCGLYOX                     177.112200000000   5   6   1   7   0   0   0
BZEMUCOH                     160.124700000000   6   5   0   8   0   0   0
H13CO2CHO                    118.088000000000   4   4   0   6   0   0   0
