#Compound                    Mass                        parameter_A              parameter_B
C817CO3H                     202.204500000000             9.754306394630          4902.667005089357
MACRNBCO3H                   165.101500000000            11.116337053755          5486.619342378593
LIMONIC                      186.205100000000            11.479755496291          5912.018211811442
PXYFUOOH                     148.114000000000            10.871671352899          5618.392571042537
C735OOH                      174.151300000000            10.516401800349          5319.788292993794
CO25C6CO2H                   158.151900000000             9.675475068100          4834.299606366421
C88PAN                       245.186100000000             9.340804629018          4691.495298239675
INAO                         180.136000000000             9.984758042549          4800.008646886010
MVKOHANO3                    165.101500000000            11.225237850522          5664.750280636426
C916NO3                      231.202600000000            10.330384404920          5256.372312623826
C825OH                       174.194400000000            12.784169373039          6574.084990861454
LIMBOOH                      186.248100000000             9.873096291410          4888.922293313371
C624CO2H                     144.168400000000            10.015456315062          4898.216314723636
C7PAN3                       233.132400000000             9.859404021464          4984.020281907387
C621O                        161.132700000000             9.995911701344          4994.513876011624
C918CO3H                     200.231600000000            10.126564891534          5032.559641334964
DNPHEN                       184.106400000000             9.217617915561          4685.404922915057
LMLKAOOH                     202.204500000000            10.857765312853          5586.824515082061
LIMALO                       201.239600000000             9.216240472791          4544.513115000974
TLEMUCCO3H                   172.135400000000             9.314453973889          4566.951151521173
H1C23C4OOH                   134.087400000000            10.705463590941          5468.098186545019
C811OOH                      174.194400000000            11.236770132510          5697.554042088273
C617CO2H                     158.151900000000             9.418095432763          4626.371579551123
INAHPCHO                     195.127500000000            12.273243462928          6265.477430367263
INANCHO                      224.125600000000            11.335205862059          5697.269174798777
NDNCRESO2                    324.135400000000            12.497751789201          6450.252132191161
C87CO3H                      216.188000000000            10.916656962844          5598.508182204208
NDNPHENO2                    310.108900000000            12.308105297715          6326.320109259305
C728OOH                      178.183100000000            13.458609204511          7043.008622018971
C536OOH                      182.042600000000            14.798018614846          7829.337670027662
TLFUOH                       132.114600000000             9.743919847432          4902.536493295305
C5CO2OHPAN                   219.105800000000            10.628596201139          5391.067430772122
TLEMUCOH                     174.151300000000            11.484140837351          5830.900162478005
C530OOH                      134.130500000000             9.972727672155          4882.431163163354
INB2O                        180.136000000000             9.984758042549          4800.008646886010
LMLKBOH                      186.205100000000            10.141649653550          5148.926342577176
DNPHENO                      249.111900000000            12.503974621525          6431.080965589990
C625OH                       148.157100000000            11.336973970392          5746.950947585676
HMACROOH                     136.103300000000            12.966081029191          6717.090053076286
NC524OH                      197.143300000000            15.661628695088          8265.261327229076
NC524O2                      212.134800000000            12.167396083983          6126.826298632450
INAHPCO2H                    211.126900000000            15.625630301899          8249.477568931941
PINIC                        186.205100000000            11.311225992424          5814.156263105840
PTLQCO                       154.120100000000             9.041828966791          4498.633254614450
C4MALOHOOH                   148.114000000000            11.068357860279          5537.283449290205
MVKOHBOOH                    136.103300000000            12.809229373269          6687.140371751636
C108OOH                      216.231000000000            11.080011113755          5739.684741119357
INANCO2H                     240.125000000000            14.368919041344          7497.049892648539
DNCRESO2                     279.137900000000            12.286207483560          6276.174862020499
C4PAN10                      195.084400000000            11.048873943720          5580.222885537155
C524OOH                      134.130500000000            11.351801386090          5742.944112376712
INDHPCO3H                    227.126300000000            14.884621671135          7822.523334181302
NBPINAOOH                    231.245700000000            10.544049279214          5368.283425324289
C812OH                       174.194400000000            12.392384708186          6333.948823729544
C914OH                       184.189200000000             9.598931730627          4801.989030559902
INB1NBCO2H                   240.125000000000            14.470464495888          7579.159833342643
C525OOH                      166.129300000000            15.730380781476          8398.906133205979
C534OOH                      180.112800000000            13.143416025325          6762.895051306151
NCRES1OOH                    169.134800000000            10.010374928543          5096.326057102705
C921OOH                      204.220300000000            13.701049537674          7231.836909267094
NC71CO                       201.133600000000             9.195303052167          4614.773762166087
C3DIOLOOH                    108.093200000000            11.089253997461          5548.942646902403
BPINCOOH                     186.248100000000            10.612656282136          5397.616213956433
NCATECHOL                    155.108200000000             9.243264143872          4589.877294941603
C614NO3                      191.138800000000            10.244460542974          5171.367313946855
C519OOH                      134.130500000000             9.776842574328          4845.345744802733
BPINBOOH                     186.248100000000            10.223183439968          5133.973682744694
C811OH                       158.195000000000            10.271196313486          5083.482496499238
INAHPCO3H                    227.126300000000            14.769200592752          7732.483788374032
INANCOCO2H                   238.109100000000            12.843104267452          6668.705137437291
NC72OOH                      233.132400000000            12.538166204351          6601.351262164470
NNCATECOOH                   282.118600000000            17.021155214713          9077.238251144405
C818CO                       172.178500000000             9.301347774755          4673.421926541841
H3C25CCO2H                   174.151300000000            12.039546975185          6224.481681168187
H3C25C6OOH                   162.140600000000            11.035747223875          5642.182530106207
NCRESOH                      219.148900000000            11.041444400967          5464.877857439018
TLEMUCCO                     172.135400000000            10.192253375531          5120.973260227625
INANCO3H                     256.124400000000            13.659895087014          7069.196071080175
CRESOOH                      190.150700000000            12.120309298522          6129.832365752038
H3C25C6PAN                   235.148300000000            10.820884500286          5510.730593821958
H3C25C6OH                    146.141200000000             9.987981929174          4991.360853130825
C732OH                       160.167800000000            11.161955629768          5677.831704166905
INB1O                        180.136000000000            10.042292867315          4868.699031668956
NC6PAN1                      294.129300000000            12.074558134411          6293.636840112181
INCNCHO                      224.125600000000            11.142080162163          5575.063230020624
INANPAN                      301.122000000000            12.420031472441          6414.482210829037
INB1HPCO2H                   211.126900000000            15.763997873517          8351.176766080283
TLFUOOH                      148.114000000000            10.871671352899          5618.392571042537
HIEB1O2                      165.121400000000            10.626834595362          5136.024850773217
C9DCOOH                      184.189200000000             9.542990266129          4817.665742371456
INB1NBCO3H                   256.124400000000            13.744246111256          7142.273379950513
NC61CO3H                     249.131800000000            12.637957559495          6600.437887838973
C517OOH                      134.130500000000             9.765345145079          4840.571036868814
C618CO2H                     158.151900000000             9.418095432763          4626.371579551123
C734O                        175.159200000000            10.758121116279          5396.190176188684
C825CO                       172.178500000000            11.245986291712          5737.582159506278
NC524NO3                     242.140900000000            15.952578469824          8461.762176590868
DNPHENOOH                    266.119200000000            16.932187755939          9067.198968467617
NC102OOH                     261.228600000000            12.348960149804          6511.091679934270
C515OOH                      146.098100000000             9.590469061822          4773.995790713590
H13CO2CO3H                   150.086800000000            12.088292238633          6159.116616232027
C516OOH                      164.113400000000            14.462607580490          7645.131819696584
DNCRESO                      263.138500000000            12.686589907532          6549.046102117436
HMVKNO3                      165.101500000000            11.582074859026          5912.969021509629
INB1NBCHO                    224.125600000000            11.396997275417          5761.406969067253
