         C924OH      0.33      9.00      3.00      0.00        172.221       3.00e-10       8.70e+09
        BCKANO3      0.36     14.00      5.00      1.00        285.336       3.96e-08       1.15e+12
        C920PAN      0.70     10.00      7.00      1.00        261.229       1.37e-11       3.96e+08
        LMLKACO      0.44      9.00      4.00      0.00        184.189       5.76e-09       1.67e+11
         C926OH      0.44      9.00      4.00      0.00        186.205       4.22e-10       1.23e+10
         C87OOH      0.62      8.00      5.00      0.00        188.178       1.20e-11       3.48e+08
         C1312O      0.31     13.00      4.00      0.00        241.303       6.72e-11       1.95e+09
        C812OOH      0.62      8.00      5.00      0.00        190.194       1.38e-15       4.02e+04
          A2PAN      2.33      3.00      7.00      1.00        167.074       2.99e-09       8.66e+10
      COHM2CO3H      1.25      4.00      5.00      0.00        134.087       2.35e-08       6.82e+11
         C922O2      0.67      9.00      6.00      0.00        219.212       3.35e-11       9.73e+08
     H1C23C4CHO      0.80      5.00      4.00      0.00        130.099       1.49e-08       4.33e+11
        C1215O2      0.50     12.00      6.00      0.00        259.276       2.48e-11       7.19e+08
        LMKAOOH      0.44      9.00      4.00      0.00        188.221       1.19e-11       3.46e+08
        C106OOH      0.50     10.00      5.00      0.00        216.231       2.44e-12       7.08e+07
         C929O2      0.56      9.00      5.00      0.00        203.212       7.29e-08       2.11e+12
       C731CO3H      0.62      8.00      5.00      0.00        188.178       5.44e-10       1.58e+10
         C930OH      0.44      9.00      4.00      0.00        186.205       4.22e-10       1.23e+10
     HMVKNGLYOX      1.50      4.00      6.00      1.00        163.086       3.35e-10       9.71e+09
         BCALCO      0.20     15.00      3.00      0.00        251.341       1.09e-08       3.17e+11
      HOCH2CO2H      1.50      2.00      3.00      0.00         76.051       3.74e-08       1.09e+12
        IEC2OOH      1.00      5.00      5.00      0.00        148.114       1.89e-11       5.48e+08
        C615PAN      1.00      7.00      7.00      1.00        219.149       1.21e-08       3.52e+11
       HNC524CO      1.40      5.00      7.00      1.00        195.127       2.25e-15       6.54e+04
         C98OOH      0.56      9.00      5.00      0.00        204.220       1.48e-13       4.28e+06
        C139NO3      0.54     13.00      7.00      1.00        303.308       2.08e-10       6.03e+09
         C524OH      0.60      5.00      3.00      0.00        118.131       2.80e-10       8.12e+09
       C1311NO3      0.38     13.00      5.00      1.00        271.310       7.21e-08       2.09e+12
        C621OOH      1.00      6.00      6.00      0.00        178.140       1.86e-16       5.39e+03
        LMKBOOH      0.44      9.00      4.00      0.00        188.221       2.36e-11       6.85e+08
       INAHCO2H      1.40      5.00      7.00      1.00        195.127       2.37e-15       6.86e+04
         C96OOH      0.33      9.00      3.00      0.00        172.221       1.14e-08       3.30e+11
      HOCHOCOOH      1.33      3.00      4.00      0.00        106.077       1.45e-09       4.21e+10
        C626OOH      0.67      6.00      4.00      0.00        146.141       6.12e-09       1.78e+11
        C133OOH      0.46     13.00      6.00      0.00        274.310       9.80e-18       2.84e+02
     CHOC3COOOH      1.00      5.00      5.00      0.00        146.098       2.43e-08       7.06e+11
         C57NO3      1.20      5.00      6.00      1.00        179.128       1.10e-11       3.20e+08
       C1313NO3      0.46     13.00      6.00      1.00        287.309       1.38e-09       3.99e+10
     MMALNBCO2H      1.40      5.00      7.00      1.00        193.112       9.04e-14       2.62e+06
         C51NO3      1.00      5.00      5.00      1.00        163.129       7.11e-09       2.06e+11
        C628OOH      0.83      6.00      5.00      0.00        162.141       3.66e-12       1.06e+08
        C87CO2H      0.56      9.00      5.00      0.00        200.189       7.90e-13       2.29e+07
        C128NO3      0.50     12.00      6.00      1.00        273.282       8.03e-09       2.33e+11
        C117NO3      0.55     11.00      6.00      1.00        259.256       3.28e-08       9.52e+11
       INDHPPAN      2.20      5.00     11.00      2.00        272.124       4.86e-15       1.41e+05
      C23O3CPAN      1.60      5.00      8.00      1.00        207.095       2.58e-08       7.49e+11
        C142OOH      0.29     14.00      4.00      0.00        256.338       2.20e-14       6.39e+05
        BCALBCO      0.20     15.00      3.00      0.00        250.333       9.03e-11       2.62e+09
      C2OHOCOOH      1.67      3.00      5.00      0.00        122.077       8.48e-11       2.46e+09
        C152OOH      0.40     15.00      6.00      0.00        302.363       2.26e-17       6.56e+02
     CO235C6CHO      0.57      7.00      4.00      0.00        156.136       5.34e-08       1.55e+12
        C1211OH      0.33     12.00      4.00      0.00        228.285       1.47e-14       4.27e+05
        C620OOH      0.83      6.00      5.00      0.00        160.125       5.23e-11       1.52e+09
        C813NO3      0.88      8.00      7.00      1.00        235.191       5.52e-16       1.60e+04
       C624CO3H      0.57      7.00      4.00      0.00        160.168       3.15e-09       9.14e+10
