#Compound                    Mass               C   O   N   H   S  Cl  Br
NIPBZOLOOH                   263.201400000000   9   8   1  13   0   0   0
MXYBPEROOH                   188.177900000000   8   5   0  12   0   0   0
NMXYOLOH                     233.175400000000   8   7   1  11   0   0   0
TM124MUO3H                   200.188600000000   9   5   0  12   0   0   0
BOXPOLBOOH                   164.199500000000   7   4   0  16   0   0   0
OXYOLOH                      188.177900000000   8   5   0  12   0   0   0
BCLKCOOH                     270.321500000000  14   5   0  22   0   0   0
C62CO3H                      190.150700000000   7   6   0  10   0   0   0
LMLKAOOH                     202.204500000000   9   5   0  14   0   0   0
BOXCOOLOOH                   178.183100000000   7   5   0  14   0   0   0
NPBNZOLOOH                   263.201400000000   9   8   1  13   0   0   0
MTNCATECO2                   278.192900000000   9   9   1  12   0   0   0
NBCOOH                       299.362700000000  15   5   1  25   0   0   0
HPC52CO3                     197.120200000000   5   8   0   9   0   0   0
MXYBIPENO3                   217.176000000000   8   6   1  11   0   0   0
C520OOH                      148.114000000000   5   5   0   8   0   0   0
OXNNCATCO2                   309.163900000000   8  11   2   9   0   0   0
T124NNCTO                    307.191000000000   9  10   2  11   0   0   0
C614OOH                      162.140600000000   6   5   0  10   0   0   0
T123NNCOOH                   324.198400000000   9  11   2  12   0   0   0
C610OOH                      148.157100000000   6   4   0  12   0   0   0
INAHCO3H                     211.126900000000   5   8   1   9   0   0   0
NMETOLO                      246.194100000000   9   7   1  12   0   0   0
NPETOLOOH                    263.201400000000   9   8   1  13   0   0   0
DETLMUOH                     230.257600000000  11   5   0  18   0   0   0
C125OOH                      244.284200000000  12   5   0  20   0   0   0
TM135OLOOH                   218.203900000000   9   6   0  14   0   0   0
H2M3C4CO2H                   132.157700000000   6   3   0  12   0   0   0
C727CO3H                     188.177900000000   8   5   0  12   0   0   0
T123NNCTO2                   323.190400000000   9  11   2  11   0   0   0
OTNCATCOOH                   279.200800000000   9   9   1  13   0   0   0
C925O                        203.212400000000   9   5   0  15   0   0   0
INCOOH                       197.143300000000   5   7   1  11   0   0   0
C6DICAROOH                   162.140600000000   6   5   0  10   0   0   0
DNMETOLO2                    307.191000000000   9  10   2  11   0   0   0
C516O2                       163.105500000000   5   6   0   7   0   0   0
METOLO2                      217.195900000000   9   6   0  13   0   0   0
METOLOH                      202.204500000000   9   5   0  14   0   0   0
BCAL                         236.349900000000  15   2   0  24   0   0   0
C1213NO3                     305.281200000000  12   8   1  19   0   0   0
C61OOH                       148.157100000000   6   4   0  12   0   0   0
C64NO3                       177.155200000000   6   5   1  11   0   0   0
NNCATECO2                    281.110700000000   6  11   2   5   0   0   0
MBOBOOH                      136.146400000000   5   4   0  12   0   0   0
C1212O                       243.276300000000  12   5   0  19   0   0   0
C123OH                       216.317200000000  12   3   0  24   0   0   0
C1313OH                      242.311400000000  13   4   0  22   0   0   0
HO13C4OOH                    122.119800000000   4   4   0  10   0   0   0
C1313O2                      257.302800000000  13   5   0  21   0   0   0
C123O2                       231.308600000000  12   4   0  23   0   0   0
OTNNCATOOH                   324.198400000000   9  11   2  12   0   0   0
TM124MUNO3                   247.202000000000   9   7   1  13   0   0   0
MXOHNO2OOH                   249.174800000000   8   8   1  11   0   0   0
MTNNCATOOH                   324.198400000000   9  11   2  12   0   0   0
HO3C96OOH                    176.253300000000   9   3   0  20   0   0   0
NOETLQO2                     244.178200000000   9   7   1  10   0   0   0
HO36C9                       160.253900000000   9   2   0  20   0   0   0
C102OOH                      204.263400000000  10   4   0  20   0   0   0
NPHENOH                      205.122300000000   6   7   1   7   0   0   0
T124NCATO2                   278.192900000000   9   9   1  12   0   0   0
C1312NO3                     287.308900000000  13   6   1  21   0   0   0
NORLIMO                      187.213000000000   9   4   0  15   0   0   0
C57NO3CO3H                   211.126900000000   5   8   1   9   0   0   0
NDNPBNZLO                    336.189200000000   9  11   3  10   0   0   0
C823OH                       158.195000000000   8   3   0  14   0   0   0
C817CO3H                     202.204500000000   9   5   0  14   0   0   0
H13C43CO3H                   150.129900000000   5   5   0  10   0   0   0
NDNOXYOLO2                   338.162000000000   8  12   3   8   0   0   0
C6CO2OHPAN                   233.132400000000   7   8   1   7   0   0   0
MACRNBCO3H                   165.101500000000   4   6   1   7   0   0   0
C811NO3                      203.192500000000   8   5   1  13   0   0   0
INDHCO3H                     211.126900000000   5   8   1   9   0   0   0
HIEB2O2                      165.121400000000   5   6   0   9   0   0   0
TM124MUCOH                   202.204500000000   9   5   0  14   0   0   0
C137OH                       226.312000000000  13   3   0  22   0   0   0
C137O2                       241.303400000000  13   4   0  21   0   0   0
C151NO3                      331.361500000000  15   7   1  25   0   0   0
NPBFUOOH                     221.164700000000   7   7   1  11   0   0   0
NDNPHENOOH                   311.116800000000   6  12   3   5   0   0   0
C517CO2H                     146.141200000000   6   4   0  10   0   0   0
PXYMUCCO3H                   186.162000000000   8   5   0  10   0   0   0
BZEMUCNO3                    205.122300000000   6   7   1   7   0   0   0
HO7C8OOH                     162.226700000000   8   3   0  18   0   0   0
C118CO                       228.241700000000  11   5   0  16   0   0   0
BCKOOA                       254.322100000000  14   4   0  22   0   0   0
BCKOOB                       254.322100000000  14   4   0  22   0   0   0
OETLMUCOOH                   218.203900000000   9   6   0  14   0   0   0
TM135MUO3H                   200.188600000000   9   5   0  12   0   0   0
METLMUCO3H                   200.188600000000   9   5   0  12   0   0   0
C56OH                        120.147000000000   5   3   0  12   0   0   0
DETLOBPROH                   212.242300000000  11   4   0  16   0   0   0
C142O                        239.330600000000  14   3   0  23   0   0   0
HMVKBCO2H                    132.114600000000   5   4   0   8   0   0   0
C8CO2OHPAN                   261.185500000000   9   8   1  11   0   0   0
PBZBPERNO3                   231.202600000000   9   6   1  13   0   0   0
BOXPOLAOOH                   164.199500000000   7   4   0  16   0   0   0
NIPRBQOOH                    245.186100000000   9   7   1  11   0   0   0
HO34CO6C8                    160.210800000000   8   3   0  16   0   0   0
NTMB2FUOOH                   221.164700000000   7   7   1  11   0   0   0
DNOETOLO2                    307.191000000000   9  10   2  11   0   0   0
C9PAN1                       235.234400000000   9   6   1  17   0   0   0
NC4CO2H                      161.112800000000   5   5   1   7   0   0   0
PNNCATECO                    307.191000000000   9  10   2  11   0   0   0
DNPBNZLO                     291.191600000000   9   9   2  11   0   0   0
HOCO3C5OOH                   134.130500000000   5   4   0  10   0   0   0
NDNMXYLOOH                   339.170000000000   8  12   3   9   0   0   0
INCNCO3H                     256.124400000000   5  10   2   8   0   0   0
TM123MUCOH                   202.204500000000   9   5   0  14   0   0   0
BCSOZO                       285.356000000000  15   5   0  25   0   0   0
BCALCOOH                     268.348700000000  15   4   0  24   0   0   0
METLMUCO2H                   184.189200000000   9   4   0  12   0   0   0
HOCO3C4OOH                   120.103900000000   4   4   0   8   0   0   0
MVKOHAOH                     120.103900000000   4   4   0   8   0   0   0
C7CO2OCO3H                   202.161400000000   8   6   0  10   0   0   0
C732PAN                      249.174800000000   8   8   1  11   0   0   0
BCALBOH                      252.349300000000  15   3   0  24   0   0   0
BCALBOC                      252.349300000000  15   3   0  24   0   0   0
TM135BP2OH                   186.205100000000   9   4   0  14   0   0   0
INANCO3                      255.116500000000   5  10   2   7   0   0   0
C106OH                       200.231600000000  10   4   0  16   0   0   0
C813O2                       205.185200000000   8   6   0  13   0   0   0
MACRNCO3H                    181.100900000000   4   7   1   7   0   0   0
BCOOA                        252.349300000000  15   3   0  24   0   0   0
BCOOB                        252.349300000000  15   3   0  24   0   0   0
DNCRESOOH                    280.145800000000   7  10   2   8   0   0   0
APINBOOH                     186.248100000000  10   3   0  18   0   0   0
C133OOH                      274.310200000000  13   6   0  22   0   0   0
OETLMUCNO3                   247.202000000000   9   7   1  13   0   0   0
C42CO3H                      150.129900000000   5   5   0  10   0   0   0
C2OHOCOOH                    122.076700000000   3   5   0   6   0   0   0
C58NO3                       179.128100000000   5   6   1   9   0   0   0
BCALOOH                      286.363900000000  15   5   0  26   0   0   0
BCALOOA                      254.322100000000  14   4   0  22   0   0   0
C810OOH                      174.194400000000   8   4   0  14   0   0   0
C527OOH                      166.129300000000   5   6   0  10   0   0   0
C1010OH                      184.232200000000  10   3   0  16   0   0   0
C1H4C5CO2H                   146.141200000000   6   4   0  10   0   0   0
APINCOOH                     186.248100000000  10   3   0  18   0   0   0
C730O                        161.175700000000   7   4   0  13   0   0   0
HO2C4CO2H                    118.131100000000   5   3   0  10   0   0   0
