#Compound                    Mass                        parameter_A              parameter_B
C525O                        149.122000000000            11.033905647977          5553.424769512636
HIEB1O                       149.122000000000            11.084894866439          5478.619266977478
INB1HPCO3H                   227.126300000000            14.878852103951          7820.318704754074
C107OOH                      200.231600000000             9.916587481900          4999.046019168765
MMALNBPAN                    254.108500000000            11.033732836216          5569.057511249009
PHENOOH                      176.124100000000            11.951760864311          6021.613331783378
NAPINAOOH                    231.245700000000            10.280190520353          5194.090282903685
C720OOH                      144.168400000000             9.532270597858          4637.177108044832
NBZFUONE                     161.069700000000             9.716741067436          4863.090978673966
LIMALOH                      202.247500000000            11.523350273090          5923.884561411365
INDHPCHO                     195.127500000000            12.359279615627          6344.284143691042
C734CO                       174.151300000000            12.117089025251          6297.025321239030
INCNPAN                      301.122000000000            12.217961262466          6291.578747751270
MNCATECH                     169.134800000000             9.726956792328          4901.427365935807
MNCATECO                     234.140300000000            12.860452160661          6551.293997048983
INB1OH                       181.143900000000            12.722985263056          6508.827014666731
C87OH                        172.178500000000             9.743063472119          4874.962689649108
C108OH                       200.231600000000             9.862191856029          4966.254785799498
C535OOH                      180.112800000000            13.138867380068          6761.150674258835
INCCO                        179.128100000000            10.937775191429          5484.883096993595
C917OOH                      186.205100000000             9.616187252059          4885.985307117091
LIMALBOOH                    200.231600000000            10.306252814685          5240.619925358571
C812OH                       174.194400000000            12.388230972914          6332.354357788611
C718CO2H                     172.178500000000             9.833181693066          4903.217196631961
C515PAN                      219.105800000000             9.578673865282          4776.172864074560
C58NO3PAN                    256.124400000000            12.249558144098          6290.490075495813
C810NO3                      203.192500000000             9.292800123771          4590.123317760659
LIMALAOOH                    200.231600000000            10.048965885370          5076.048047426320
NCATECHOL                    155.108200000000             9.240529242615          4588.823741732057
C823CO3H                     202.204500000000            10.879820356978          5542.484775892138
APINAOOH                     186.248100000000            10.136481079513          5067.592301806018
NORLIMOOH                    204.220300000000            12.411073438507          6482.435338634388
C519OOH                      134.130500000000             9.773972355001          4844.239831786416
PINONIC                      184.232200000000             9.391747470658          4661.683733842551
C2OHOCO2H                    106.077300000000            11.624448450935          5814.522586530302
INAO                         180.136000000000             9.982144950522          4798.998804124360
NC524O                       196.135400000000            12.659171463711          6472.471382883914
NCATECO2                     236.113100000000            12.071547725072          6011.413002275688
C537O                        165.039900000000            10.516600182448          5205.477589939482
NNCATECO                     265.111300000000            12.690146163877          6484.724456444407
NCRESOOH                     235.148300000000            12.274428211344          6270.330281523437
C519CO2H                     146.141200000000            10.699476102653          5381.841940638495
NC72OOH                      233.132400000000            12.533252728162          6599.474443759130
C106NO3                      245.229200000000            10.274834058143          5258.396431460303
C732OOH                      176.167200000000            12.231222308977          6340.469166535191
C615CO2H                     158.151900000000             9.910385692529          4926.087827761180
C924OOH                      188.220900000000            10.922627568566          5581.505368651390
C524NO3                      163.128700000000            10.314171278854          5080.656218334777
C822CO2H                     170.205700000000             9.437428445705          4631.727719429512
INCOH                        181.143900000000            12.390513550053          6272.915617968001
C533OOH                      164.113400000000            10.671182243479          5340.192889485929
BPINANO3                     215.246300000000             9.648715367301          4808.337135049186
C626CO2H                     158.151900000000             9.778492823547          4841.201721197373
PINALNO3                     229.229800000000             9.213653744283          4574.900322014792
KLIMONIC                     188.177900000000            12.786212165455          6694.154545904817
C58NO3CO2H                   195.127500000000            14.395454175577          7501.000993578730
TLFUOH                       132.114600000000             9.740875330725          4901.365435795795
HPNC524CO                    211.126900000000            15.496088427393          8213.650751600422
LIMONONIC                    184.232200000000             9.536395013060          4745.464266816814
NC91CO3H                     245.229200000000            10.378227180154          5254.444735815428
C728OH                       162.183700000000            11.987183299539          6111.514731917775
INANCO                       224.125600000000            11.331420439899          5770.507932054327
C915OOH                      186.205100000000             9.663988930804          4852.094149907685
NC4DCO2H                     145.070300000000            10.376698080948          5219.904008820742
C914OOH                      200.188600000000            10.603221780434          5450.224396014420
LMLKAOH                      186.205100000000             9.827755716562          4923.991638801934
C916OH                       186.205100000000             9.922953150619          4955.543962907364
C919OOH                      202.204500000000            11.125373221513          5730.656167491070
LIMALOOH                     218.246900000000            12.896730108900          6782.124828281171
C813OH                       190.193800000000            13.704909363792          7182.386276848085
C818OH                       174.194400000000            10.646975383716          5407.568730239435
C731CO3H                     188.177900000000             9.656459158083          4785.720159097631
NC91PAN                      290.226800000000             9.607717623291          4860.284856163704
INB1NBCHO                    224.125600000000            11.393362730815          5760.009772270106
PTLQOH                       156.136000000000            10.412926026815          5262.842672880173
C821OOH                      174.151300000000             9.823386476908          4988.985416873502
C924OH                       172.221500000000             9.889971679396          4910.299543344255
C920PAN                      261.228600000000            10.594747743071          5427.480038053214
HPC52CO3H                    198.128100000000            16.143305893609          8559.880734955017
PTLQOOH                      172.135400000000            11.556210999523          5990.205242195326
C628OOH                      162.140600000000            11.251034440210          5738.201358047810
BZFUOH                       118.088000000000             9.574013219732          4809.698116749207
C813NO3                      235.191300000000            14.034844626910          7407.913130081914
C818OOH                      190.193800000000            11.782916519057          6127.355963724111
INAHPCHO                     195.127500000000            12.269152738964          6263.906891002845
MACROOH                      120.103900000000             9.804645701147          4762.187454991639
NDNPHENO2                    310.108900000000            12.303867866095          6324.694824931483
TLEMUCOH                     174.151300000000            11.480406749287          5829.465506150936
C625OH                       148.157100000000            11.333314093143          5745.544508908369
INAHPCO2H                    211.126900000000            15.619402250506          8247.099974674053
C811OOH                      174.194400000000            11.233138650736          5696.158558146491
INANCO2H                     240.125000000000            14.363574930538          7495.005075596855
C914OH                       184.189200000000             9.596004081129          4800.862166006278
INB1NBCO2H                   240.125000000000            14.464965096874          7577.057073564987
C921OOH                      204.220300000000            13.695596019725          7229.754901465559
C734OOH                      192.166600000000            15.095826543839          8026.842674242020
NNCATECOOH                   282.118600000000            17.013889270325          9074.471053131003
C818CO                       172.178500000000             9.298458529798          4672.310410872571
MACRNCO2H                    165.101500000000            11.671366629874          5870.497031020832
NDNCRESOOH                   325.143400000000            17.196228208192          9247.836185200098
H3C25C6OH                    146.141200000000             9.984948908261          4990.193287612246
C732OH                       160.167800000000            11.158295819888          5676.425927072450
