#Compound,Mass,parameter_A,parameter_B,Surface_tension,alpha_wall,density,Henrys_constant,parameter_C
NBCKOOH,301.3355,11.246041783002,5499.96363686265,0.05,0.00005,1400,0,0
TM123OLO2,217.1959,9.780582887855,4793.54344912867,0.05,0.00005,1400,0,0
DETLMUPAN,273.2393,9.835020997836,5196.43424332454,0.05,0.00005,1400,0,0
IPBENZOLOH,202.2045,11.003441556204,5683.40294880985,0.05,0.00005,1400,0,0
LIMALAOH,184.2322,9.282271753109,4572.44853815237,0.05,0.00005,1400,0,0
C87PAN,261.1855,9.365409563164,4782.49390373889,0.05,0.00005,1400,0,0
C62CPAN,235.1483,9.751226044943,4714.90360623326,0.05,0.00005,1400,0,0
NDNT124LO2,352.1886,10.476730676615,5048.02531933515,0.05,0.00005,1400,0,0
IPBENZOLO2,217.1959,9.669739096709,4700.99496580166,0.05,0.00005,1400,0,0
MEBFUOH,160.1678,9.937044310776,4788.80081711607,0.05,0.00005,1400,0,0
METLBIPNO3,231.2026,11.827999949775,5706.45002675773,0.05,0.00005,1400,0,0
C57NO3PAN,256.1244,12.432141210935,6372.9584653545,0.05,0.00005,1400,0,0
NMXYOLOOH,249.1748,12.936417931878,6672.8986442127,0.05,0.00005,1400,0,0
INB1NBPAN,301.122,13.393800912055,6719.98881864849,0.05,0.00005,1400,0,0
DMEOBPROH,198.2158,9.998846030205,4941.71137603414,0.05,0.00005,1400,0,0
C1213O,259.2757,13.692938442857,7119.03427997352,0.05,0.00005,1400,0,0
C812O,173.1864,10.347886780927,5033.74050536493,0.05,0.00005,1400,0,0
BCAOH,238.3657,10.751639622409,5353.3039643862,0.05,0.00005,1400,0,0
BCAOO,252.3493,9.153776269908,4566.64675013573,0.05,0.00005,1400,0,0
BCLKAO,253.3141,8.926710887872,4525.00086973387,0.05,0.00005,1400,0,0
MMALNAPAN,254.1085,10.502452933707,5260.82217645018,0.05,0.00005,1400,0,0
C144O,255.33,11.139180427328,5544.58867605334,0.05,0.00005,1400,0,0
NORPINIC,172.1785,11.203037994362,5746.24350044833,0.05,0.00005,1400,0,0
NDNMETOLO,336.1892,10.587574467389,5140.57380255694,0.05,0.00005,1400,0,0
IPBFUOH,160.1678,10.570774749342,5162.42566407712,0.05,0.00005,1400,0,0
C72NO3,191.1818,10.350451207998,4926.64753121001,0.05,0.00005,1400,0,0
NEBNZOLO2,248.1669,10.232024691982,4889.66157877155,0.05,0.00005,1400,0,0
C123CO,214.3013,10.075018901933,4999.68478837,0.05,0.00005,1400,0,0
C1H4C5PAN,207.1382,9.580393055663,4765.64435314779,0.05,0.00005,1400,0,0
NEBNZOLOH,233.1754,11.704591313617,5872.06955580185,0.05,0.00005,1400,0,0
INAOOH,197.1433,12.769139636675,6690.62949184384,0.05,0.00005,1400,0,0
NDNPXYOLO2,338.162,10.232024691982,4889.66157877155,0.05,0.00005,1400,0,0
C103OH,188.264,10.649749528679,5403.50846036394,0.05,0.00005,1400,0,0
PETLMUCOOH,218.2039,11.085250704149,5856.72825755303,0.05,0.00005,1400,0,0
HO1C6OOH,134.1736,9.7421761992,4727.32267283654,0.05,0.00005,1400,0,0
NDNPETOLO,336.1892,10.587574467389,5140.57380255694,0.05,0.00005,1400,0,0
C1311OOH,242.3114,12.787891199754,6696.09601588599,0.05,0.00005,1400,0,0
C5DICAROOH,148.114,9.081941651938,4564.10602537101,0.05,0.00005,1400,0,0
ENNCATECO,293.1645,12.581006840541,6374.76729861269,0.05,0.00005,1400,0,0
C127OH,212.2854,10.653029782228,5359.55484549061,0.05,0.00005,1400,0,0
C623O,147.1491,10.274743400511,4940.61842672195,0.05,0.00005,1400,0,0
C145OOH,304.3362,15.76567486517,9076.68516932068,0.05,0.00005,1400,0,0
BPINAOOH,186.2481,10.668670342973,5235.13565849841,0.05,0.00005,1400,0,0
EBZMUCNO3,233.1754,10.886821212108,5454.48754127118,0.05,0.00005,1400,0,0
T124NCTOOH,279.2008,13.773245295662,7688.26137247252,0.05,0.00005,1400,0,0
PBZOBPEROH,184.1892,9.754140026876,4783.34763011877,0.05,0.00005,1400,0,0
MC5COOHOOH,162.1406,9.326647637814,4722.46976628956,0.05,0.00005,1400,0,0
MMALNACO3H,209.111,10.986150569439,5532.96286723885,0.05,0.00005,1400,0,0
DETLBIPNO3,259.2558,12.539099493256,6208.27447222901,0.05,0.00005,1400,0,0
PXYMUCOH,188.1779,9.908497530755,5014.90870361976,0.05,0.00005,1400,0,0
C92OOH,190.2368,10.420758523433,5408.2493169673,0.05,0.00005,1400,0,0
C1310O2,273.3022,12.989354024947,7016.65548568103,0.05,0.00005,1400,0,0
C812OOH,190.1938,12.843565897099,6909.5260531327,0.05,0.00005,1400,0,0
C928CO3H,216.231,10.175765658419,5011.73124249358,0.05,0.00005,1400,0,0
C734OH,176.1672,13.03567098005,7108.06299703178,0.05,0.00005,1400,0,0
HMVKNO3,165.1015,10.637556151772,5290.97831801986,0.05,0.00005,1400,0,0
PHENOH,160.1247,10.158479806188,5115.76324236679,0.05,0.00005,1400,0,0
INB1NACO2H,240.125,14.43074783025,7490.09261144682,0.05,0.00005,1400,0,0
C734O2,191.1586,11.597707829,5975.18825453951,0.05,0.00005,1400,0,0
PXYQOOH,186.162,11.452516914378,6206.9476415518,0.05,0.00005,1400,0,0
C118OH,230.2576,12.806168675329,6604.1602608079,0.05,0.00005,1400,0,0
IPBZOLOOH,218.2039,12.290345185937,6576.78051312065,0.05,0.00005,1400,0,0
C128O,227.2769,10.641199387252,5297.752109314,0.05,0.00005,1400,0,0
C1213CO,258.2677,14.5397562787,7848.65183390893,0.05,0.00005,1400,0,0
NTM124LOOH,263.2014,13.402811500034,7016.35935178619,0.05,0.00005,1400,0,0
C6CO2OHOOH,162.1406,9.326647637814,4722.46976628956,0.05,0.00005,1400,0,0
OXYQCO,168.1467,10.199199434185,4924.30778735795,0.05,0.00005,1400,0,0
HO13C5NO3,165.1445,10.920620115018,5272.85973253602,0.05,0.00005,1400,0,0
C133OH,258.3108,13.517268206805,7105.98470284119,0.05,0.00005,1400,0,0
C118O2,245.2491,11.201658606311,5400.13090355329,0.05,0.00005,1400,0,0
INB1CO,179.1281,10.882262127816,5449.34205612396,0.05,0.00005,1400,0,0
C137PAN,315.319,10.473507152462,5146.65660476382,0.05,0.00005,1400,0,0
C146O,253.3141,8.926710887872,4525.00086973387,0.05,0.00005,1400,0,0
PXNNCATCO,293.1645,12.581006840541,6374.76729861269,0.05,0.00005,1400,0,0
INB1HPCO3,226.1183,11.406452824495,5628.90935628545,0.05,0.00005,1400,0,0
C54OOH,136.1464,10.142598213965,5143.11186283686,0.05,0.00005,1400,0,0
HIEB2OOH,166.1293,11.910181016177,6552.86547861265,0.05,0.00005,1400,0,0
LIMCOOH,186.2481,10.941268072223,5567.26847632992,0.05,0.00005,1400,0,0
C7ADCCO2H,142.1525,9.513439853591,4673.91580394739,0.05,0.00005,1400,0,0
NIPBZOLOOH,263.2014,13.291967700778,6923.81086613615,0.05,0.00005,1400,0,0
MXYBPEROOH,188.1779,11.316608186664,5699.4147787394,0.05,0.00005,1400,0,0
NMXYOLOH,233.1754,11.593747540306,5779.52107757893,0.05,0.00005,1400,0,0
TM124MUO3H,200.1886,9.943478443241,4874.20199974129,0.05,0.00005,1400,0,0
BOXPOLBOOH,164.1995,9.595018418064,4713.21305151921,0.05,0.00005,1400,0,0
OXYOLOH,188.1779,10.758735567784,5525.03920716146,0.05,0.00005,1400,0,0
BCLKCOOH,270.3215,11.637194815691,6177.62832966847,0.05,0.00005,1400,0,0
C62CO3H,190.1507,10.414977610424,5070.61263036609,0.05,0.00005,1400,0,0
LMLKAOOH,202.2045,10.524508700266,5478.35811493287,0.05,0.00005,1400,0,0
BOXCOOLOOH,178.1831,10.569947559033,5247.56183475281,0.05,0.00005,1400,0,0
NPBNZOLOOH,263.2014,13.402811500034,7016.35935178619,0.05,0.00005,1400,0,0
MTNCATECO2,278.1929,11.826056117225,6186.10068493965,0.05,0.00005,1400,0,0
NBCOOH,299.3627,10.214035691577,4890.64869837606,0.05,0.00005,1400,0,0
HPC52CO3,197.1202,10.725231178652,5591.70997317053,0.05,0.00005,1400,0,0
MXYBIPENO3,217.176,11.472450168879,5455.53780139775,0.05,0.00005,1400,0,0
C520OOH,148.114,9.687895557183,4749.20032050396,0.05,0.00005,1400,0,0
OXNNCATCO2,309.1639,12.581006840541,6374.76729861269,0.05,0.00005,1400,0,0
T124NNCTO,307.191,12.825712834677,6533.13104189694,0.05,0.00005,1400,0,0
