#  julian_day      temp_K          RH              Pres            rad             UVB             O3              so2             co              no              no2             nh3             pm25            hono            air             acetaldehyde    toluene         xyluene         OPEN            ch3oh           c2h5oh          c2h6            hcho            methylglyoxal   isoprene        monoterpene     sesquiterpene   h2so4           Julian day      cs_sa_dry       cs_sa_wet       cs_hno3_dry     cs_hno3_wet
   3.5125000e+01   2.7165000e+02   4.5000000e+01   1.0170000e+03   1.0000000e-02   1.0000000e-02   8.0996643e+11   4.6222860e+10   6.5654917e+12   1.7935035e+05   2.2048823e+11   1.7627691e+10   2.4382600e+01   3.6021437e+08   2.7117021e+19   3.3986576e+10   3.4578540e+10   2.3813680e+10   9.6082384e+08   2.9833333e+09   1.3621530e+07   7.4057397e+15   2.4122705e+10   2.2237503e+09   6.0697832e+10   2.4058018e+10   3.8152280e+10   2.7100018e+06   3.5125000e+01   1.6405490e-02   1.7484445e-02   1.6405490e-04   1.7484445e-04
   3.5131944e+01   2.7155833e+02   4.5000000e+01   1.0170333e+03   1.0000000e-02   1.0000000e-02   8.2418394e+11   4.4280998e+10   6.2714696e+12   1.6896281e+05   2.1230210e+11   1.6956133e+10   2.3098417e+01   3.4207923e+08   2.7127063e+19   3.2155101e+10   3.3446313e+10   2.3090602e+10   8.9747448e+08   2.8582742e+09   1.2554762e+07   7.4051187e+15   2.3030655e+10   2.1067149e+09   6.0505257e+10   2.4583639e+10   3.9774221e+10   3.1403939e+06   3.5131944e+01   1.5265561e-02   1.6269368e-02   1.5265561e-04   1.6269368e-04
   3.5138889e+01   2.7146667e+02   4.5000000e+01   1.0170667e+03   1.0000000e-02   1.0000000e-02   8.3841196e+11   4.2337695e+10   5.9772295e+12   1.5856758e+05   2.0410990e+11   1.6284077e+10   2.1814233e+01   3.2393065e+08   2.7137113e+19   3.0322268e+10   3.2313246e+10   2.2366987e+10   8.3407816e+08   2.7331225e+09   1.1487203e+07   7.4044969e+15   2.1937796e+10   1.9895927e+09   6.0312681e+10   2.5109260e+10   4.1396163e+10   3.5711048e+06   3.5138889e+01   1.6157238e-02   1.7213414e-02   1.6157238e-04   1.7213414e-04
   3.5145833e+01   2.7137500e+02   4.5000000e+01   1.0171000e+03   1.0000000e-02   1.0000000e-02   8.5265050e+11   4.0392952e+10   5.6827712e+12   1.4816463e+05   1.9591162e+11   1.5611523e+10   2.0530050e+01   3.0576861e+08   2.7147169e+19   2.8488076e+10   3.1179338e+10   2.1642836e+10   7.7063483e+08   2.6078779e+09   1.0418853e+07   7.4038746e+15   2.0844126e+10   1.8723837e+09   6.0120106e+10   2.5634881e+10   4.3018105e+10   4.0021348e+06   3.5145833e+01   1.6874365e-02   1.7981950e-02   1.6874365e-04   1.7981950e-04
   3.5152778e+01   2.7128333e+02   4.5000000e+01   1.0171333e+03   1.0000000e-02   1.0000000e-02   8.6689959e+11   3.8446765e+10   5.3880944e+12   1.3775397e+05   1.8770726e+11   1.4938469e+10   1.9245867e+01   2.8759310e+08   2.7157232e+19   2.6652524e+10   3.0044589e+10   2.0918148e+10   7.0714445e+08   2.4825404e+09   9.3497100e+06   7.4032516e+15   1.9749644e+10   1.7550877e+09   5.9582826e+10   2.4963836e+10   4.2678709e+10   4.4334842e+06   3.5152778e+01   1.6306238e-02   1.7379605e-02   1.6306238e-04   1.7379605e-04
   3.5159722e+01   2.7119167e+02   4.5000000e+01   1.0171667e+03   1.0000000e-02   1.0000000e-02   8.8115921e+11   3.6499134e+10   5.0931990e+12   1.2733559e+05   1.7949681e+11   1.4264916e+10   1.7961683e+01   2.6940410e+08   2.7167302e+19   2.4815610e+10   2.8908998e+10   2.0192921e+10   6.4360697e+08   2.3571098e+09   8.2797741e+06   7.4026279e+15   1.8654351e+10   1.6377047e+09   5.9045546e+10   2.4292792e+10   4.2339313e+10   4.8651535e+06   3.5159722e+01   1.5156376e-02   1.6157446e-02   1.5156376e-04   1.6157446e-04
   3.5166667e+01   2.7110000e+02   4.5000000e+01   1.0172000e+03   1.0000000e-02   1.0000000e-02   8.9542940e+11   3.4550058e+10   4.7980847e+12   1.1690947e+05   1.7128027e+11   1.3590864e+10   1.6677500e+01   2.5120160e+08   2.7177379e+19   2.2977332e+10   2.7772563e+10   1.9467156e+10   5.8002233e+08   2.2315862e+09   7.2090443e+06   7.4020037e+15   1.7558244e+10   1.5202346e+09   5.8508267e+10   2.3621747e+10   4.1999917e+10   5.2971429e+06   3.5166667e+01   1.3676234e-02   1.4583207e-02   1.3676234e-04   1.4583207e-04
   3.5173611e+01   2.7102500e+02   4.4166667e+01   1.0172833e+03   1.0000000e-02   1.0000000e-02   9.0410789e+11   3.3563051e+10   4.6849536e+12   1.1174620e+05   1.6797534e+11   1.3281414e+10   1.5904867e+01   2.4797944e+08   2.7187126e+19   2.2248327e+10   2.7313655e+10   1.9197913e+10   5.5327479e+08   2.1464599e+09   6.6453131e+06   7.4005488e+15   1.6988782e+10   1.4713301e+09   5.8011427e+10   2.3908126e+10   4.0528060e+10   5.6892551e+06   3.5173611e+01   1.3777448e-02   1.4707353e-02   1.3777448e-04   1.4707353e-04
   3.5180556e+01   2.7095000e+02   4.3333333e+01   1.0173667e+03   1.0000000e-02   1.0000000e-02   9.1279255e+11   3.2575335e+10   4.5717411e+12   1.0657922e+05   1.6466804e+11   1.2971742e+10   1.5132233e+01   2.4475496e+08   2.7196880e+19   2.1518797e+10   2.6854417e+10   1.8928475e+10   5.2650802e+08   2.0612724e+09   6.0811770e+06   7.3990924e+15   1.6418910e+10   1.4223905e+09   5.7514588e+10   2.4194504e+10   3.9056204e+10   6.0816484e+06   3.5180556e+01   1.3466868e-02   1.4363691e-02   1.3466868e-04   1.4363691e-04
   3.5187500e+01   2.7087500e+02   4.2500000e+01   1.0174500e+03   1.0000000e-02   1.0000000e-02   9.2148340e+11   3.1586907e+10   4.4584470e+12   1.0140853e+05   1.6135835e+11   1.2661847e+10   1.4359600e+01   2.4152816e+08   2.7206638e+19   2.0788742e+10   2.6394847e+10   1.8658843e+10   4.9972201e+08   1.9760236e+09   5.5166356e+06   7.3976346e+15   1.5848629e+10   1.3734156e+09   5.7017749e+10   2.4480883e+10   3.7584347e+10   6.4743229e+06   3.5187500e+01   1.2373517e-02   1.3207398e-02   1.2373517e-04   1.3207398e-04
   3.5194444e+01   2.7080000e+02   4.1666667e+01   1.0175333e+03   1.0000000e-02   1.0000000e-02   9.3018043e+11   3.0597768e+10   4.3450714e+12   9.6234114e+04   1.5804628e+11   1.2351729e+10   1.3586967e+01   2.3829902e+08   2.7216402e+19   2.0058162e+10   2.5934945e+10   1.8389016e+10   4.7291674e+08   1.8907135e+09   4.9516887e+06   7.3961753e+15   1.5277937e+10   1.3244055e+09   5.9655123e+10   2.3739847e+10   4.1189084e+10   6.8672789e+06   3.5194444e+01   1.2235426e-02   1.3072600e-02   1.2235426e-04   1.3072600e-04
   3.5201389e+01   2.7072500e+02   4.0833333e+01   1.0176167e+03   1.0000000e-02   1.0000000e-02   9.3888364e+11   2.9607917e+10   4.2316141e+12   9.1055980e+04   1.5473182e+11   1.2041387e+10   1.2814333e+01   2.3506755e+08   2.7226172e+19   1.9327056e+10   2.5474712e+10   1.8118995e+10   4.4609220e+08   1.8053420e+09   4.3863359e+06   7.3947145e+15   1.4706834e+10   1.2753601e+09   6.2292498e+10   2.2998811e+10   4.4793821e+10   7.2605167e+06   3.5201389e+01   1.0796511e-02   1.1546555e-02   1.0796511e-04   1.1546555e-04
   3.5208333e+01   2.7065000e+02   4.0000000e+01   1.0177000e+03   1.0000000e-02   1.0000000e-02   9.4759305e+11   2.8617354e+10   4.1180751e+12   8.5874123e+04   1.5141498e+11   1.1730822e+10   1.2041700e+01   2.3183374e+08   2.7235947e+19   1.8595424e+10   2.5014147e+10   1.7848778e+10   4.1924837e+08   1.7199092e+09   3.8205769e+06   7.3932522e+15   1.4135320e+10   1.2262794e+09   6.4929872e+10   2.2257775e+10   4.8398558e+10   7.6540364e+06   3.5208333e+01   9.7078278e-03   1.0382889e-02   9.7078278e-05   1.0382889e-04
   3.5215278e+01   2.7060000e+02   3.8833333e+01   1.0178000e+03   1.0000000e-02   1.0000000e-02   9.3726576e+11   3.2902526e+10   4.4660616e+12   9.2869218e+04   1.6517570e+11   1.6257629e+10   1.2188750e+01   2.5642978e+08   2.7243656e+19   1.9297040e+10   2.6014740e+10   1.8586008e+10   4.2877337e+08   1.6921788e+09   3.5575565e+06   7.3910722e+15   1.4313494e+10   1.2562449e+09   6.5177702e+10   2.4834156e+10   4.8127695e+10   8.0330871e+06   3.5215278e+01   8.3590479e-03   8.9463120e-03   8.3590479e-05   8.9463120e-05
   3.5222222e+01   2.7055000e+02   3.7666667e+01   1.0179000e+03   1.0000000e-02   1.0000000e-02   9.2693257e+11   3.7190123e+10   4.8142448e+12   9.9868270e+04   1.7894420e+11   2.0786998e+10   1.2335800e+01   2.8103972e+08   2.7251368e+19   1.9999052e+10   2.7015898e+10   1.9323654e+10   4.3830373e+08   1.6644327e+09   3.2943870e+06   7.3888905e+15   1.4491769e+10   1.2862273e+09   6.5425531e+10   2.7410537e+10   4.7856831e+10   8.4123519e+06   3.5222222e+01   8.0470778e-03   8.6271116e-03   8.0470778e-05   8.6271116e-05
   3.5229167e+01   2.7050000e+02   3.6500000e+01   1.0180000e+03   1.0000000e-02   1.0000000e-02   9.1659348e+11   4.1480146e+10   5.1626250e+12   1.0687128e+05   1.9272049e+11   2.5318931e+10   1.2482850e+01   3.0566359e+08   2.7259083e+19   2.0701461e+10   2.8017621e+10   2.0061717e+10   4.4783947e+08   1.6366708e+09   3.0310683e+06   7.3867072e+15   1.4670143e+10   1.3162266e+09   6.5673361e+10   2.9986918e+10   4.7585967e+10   8.7918311e+06   3.5229167e+01   6.8275274e-03   7.3348072e-03   6.8275274e-05   7.3348072e-05
