LIMCOH                       10          2          0         18
C817CO3H                      9          5          0         14
CONM2CO3H                     4          7          1          5
COHM2CO2H                     4          4          0          6
LIMONIC                       9          4          0         14
PXYFUOOH                      5          5          0          8
C735OOH                       7          5          0         10
MACRNOOA                      4          6          1          7
BCKBCO                       14          3          0         22
C831OOH                       8          4          0         14
LIMAOH                       10          2          0         18
C132O2                       13          5          0         21
C825O2                        8          5          0         13
CO25C6CO2H                    7          4          0         10
C88PAN                        9          7          1         11
INAO                          5          6          1         10
C720OH                        7          2          0         12
MVKOHANO3                     4          6          1          7
C137CO3                      14          5          0         21
C829OH                        8          4          0         14
NC72O2                        7          8          1          6
C512PAN                       6          7          1          7
C1011CO3H                    11          4          0         18
C825OH                        8          4          0         14
HC4ACO2H                      5          3          0          8
C134OH                       13          6          0         20
C1313O                       13          4          0         21
C126OH                       12          2          0         20
LIMALACO                     10          3          0         14
C132OH                       13          4          0         22
C126CO2H                     13          3          0         20
C818O                         8          4          0         13
C126OO                       12          4          0         18
LIMBOOH                      10          3          0         18
C624CO2H                      7          3          0         12
C7PAN3                        7          8          1          7
C621O                         6          5          0          9
C109CO                       10          3          0         14
C918CO3H                     10          4          0         16
LMLKAOOH                      9          5          0         14
C1311O                       13          3          0         21
INAOOH                        5          7          1         11
H1C23C4OOH                    4          5          0          6
NOPINBNO3                     9          4          1         13
C811OOH                       8          4          0         14
C511CO3H                      6          5          0          8
C617CO2H                      7          4          0         10
INAHPCHO                      5          7          1          9
INANCHO                       5          8          2          8
C137O                        13          3          0         21
C829O                         8          4          0         13
C87CO3H                       9          6          0         12
C1013OH                      10          3          0         18
C721CHO                       8          3          0         12
NC4OO                         4          6          1          7
C89CO3H                       9          4          0         14
C728OOH                       7          5          0         14
C536OOH                       5          7          0         10
HOC2H4CO3H                    3          4          0          6
BCLKET                       14          3          0         22
C527O                         5          5          0          9
C139O2                       13          5          0         21
HC4CCO3H                      5          4          0          8
C1211OOH                     12          5          0         20
C530OOH                       5          4          0         10
INB2O                         5          6          1         10
LMLKBOH                       9          4          0         14
BCSOZOOH                     15          6          0         26
C614CO                        6          4          0          8
C625OH                        6          4          0         12
C1210OOH                     12          4          0         20
HMACROOH                      4          5          0          8
HC4ACO3H                      5          4          0          8
C531OOH                       5          5          0          6
NC524OH                       5          7          1         11
NC524O2                       5          8          1         10
C919OH                        9          4          0         14
INAHPCO2H                     5          8          1          9
C625O2                        6          5          0         11
C513CO                        5          4          0          6
NC102O                       10          6          1         14
PINIC                         9          4          0         14
H3C2C4PAN                     5          7          1          7
C4MALOHOOH                    5          5          0          8
BCLKAOOH                     14          5          0         22
C1211CO3                     13          6          0         19
