#          Time_in_sec([])              CONDENS_SINK([])              CON_SIN_NITR([])
3.72000000000000000000e+04    1.00136003112784737823e+03    1.01653931620894024945e+03
3.75000000000000000000e+04    1.00136528553429934618e+03    1.01721447961641240454e+03
3.78000000000000000000e+04    1.00137327289421341447e+03    1.01787275357750900184e+03
3.81000000000000000000e+04    1.00138404524772499826e+03    1.01850849980862221855e+03
3.84000000000000000000e+04    1.00139766966068464171e+03    1.01911599266148164133e+03
3.87000000000000000000e+04    1.00141422888554211568e+03    1.01968951408230157085e+03
3.90000000000000000000e+04    1.00143382215399992674e+03    1.02022345492879162521e+03
3.93000000000000000000e+04    1.00145656611126833013e+03    1.02071241998742380019e+03
3.96000000000000000000e+04    1.00148259590319946710e+03    1.02115133370920602829e+03
3.99000000000000000000e+04    1.00151206642915087741e+03    1.02153554347133376723e+03
4.02000000000000000000e+04    1.00154515377513007479e+03    1.02186091709321169674e+03
4.05000000000000000000e+04    1.00158205684360689247e+03    1.02212393140026699712e+03
4.08000000000000000000e+04    1.00162299919835982109e+03    1.02232174884134315107e+03
4.11000000000000000000e+04    1.00166823114483236168e+03    1.02245227952006837313e+03
4.14000000000000000000e+04    1.00171803206872755254e+03    1.02251422648339610078e+03
4.17000000000000000000e+04    1.00177271305793965439e+03    1.02250711269929001901e+03
4.20000000000000000000e+04    1.00183261983540194251e+03    1.02243128882120890921e+03
4.23000000000000000000e+04    1.00189813603298478029e+03    1.02228792154562222549e+03
4.26000000000000000000e+04    1.00196968683917475573e+03    1.02207896308351757853e+03
4.29000000000000000000e+04    1.00204774305583794103e+03    1.02180710295087828854e+03
4.32000000000000000000e+04    1.00213282560184563863e+03    1.02147570390175985722e+03
4.35000000000000000000e+04    1.00222551050361585112e+03    1.02108872435088778730e+03
4.38000000000000000000e+04    1.00232643441456355049e+03    1.02065063003703301092e+03
4.41000000000000000000e+04    1.00243630070687868283e+03    1.02016629794804282483e+03
4.44000000000000000000e+04    1.00255588617976400201e+03    1.01964091565605895084e+03
4.47000000000000000000e+04    1.00268604842797242327e+03    1.01907987919843742475e+03
4.50000000000000000000e+04    1.00282773391287207687e+03    1.01848869249550421046e+03
4.53000000000000000000e+04    1.00298198677492734987e+03    1.01787287103663697962e+03
4.56000000000000000000e+04    1.00314995842092764633e+03    1.01723785221274738433e+03
4.59000000000000000000e+04    1.00333291791096155521e+03    1.01658891425092974714e+03
4.62000000000000000000e+04    1.00353226315833705939e+03    1.01593110524243911641e+03
4.65000000000000000000e+04    1.00374953293963517353e+03    1.01526918327454654900e+03
4.68000000000000000000e+04    1.00398641969096001958e+03    1.01460756820465144301e+03
4.71000000000000000000e+04    1.00424478303926230183e+03    1.01395030517261238856e+03
4.74000000000000000000e+04    1.00452666398329188269e+03    1.01330103955173456143e+03
4.77000000000000000000e+04    1.00483429959616614724e+03    1.01266300270276235551e+03
4.80000000000000000000e+04    1.00517013806959755584e+03    1.01203900762626153664e+03
4.83000000000000000000e+04    1.00553685385737810520e+03    1.01143145341008960258e+03
4.86000000000000000000e+04    1.00593736260180548925e+03    1.01084233723921079218e+03
4.89000000000000000000e+04    1.00637483544056522078e+03    1.01027327267050657156e+03
4.92000000000000000000e+04    1.00685271219273079168e+03    1.00972551286841587626e+03
4.95000000000000000000e+04    1.00737471281110526888e+03    1.00919997753933739659e+03
