      1.60      5.00      8.00      1.00        207.095       2.58e-08       7.49e+11
      0.29     14.00      4.00      0.00        256.338       2.20e-14       6.39e+05
      0.20     15.00      3.00      0.00        250.333       9.03e-11       2.62e+09
      1.67      3.00      5.00      0.00        122.077       8.48e-11       2.46e+09
      0.40     15.00      6.00      0.00        302.363       2.26e-17       6.56e+02
      0.57      7.00      4.00      0.00        156.136       5.34e-08       1.55e+12
      0.33     12.00      4.00      0.00        228.285       1.47e-14       4.27e+05
      0.83      6.00      5.00      0.00        160.125       5.23e-11       1.52e+09
      0.88      8.00      7.00      1.00        235.191       5.52e-16       1.60e+04
      0.57      7.00      4.00      0.00        160.168       3.15e-09       9.14e+10
      0.44      9.00      4.00      0.00        188.221       1.10e-11       3.19e+08
      0.71      7.00      5.00      0.00        174.151       5.30e-11       1.54e+09
      0.60     10.00      6.00      1.00        244.221       8.97e-08       2.60e+12
      1.25      4.00      5.00      1.00        149.102       5.50e-08       1.60e+12
      1.00      3.00      3.00      0.00         90.078       8.78e-09       2.55e+11
      1.00      5.00      5.00      0.00        149.122       2.46e-09       7.13e+10
      0.45     11.00      5.00      0.00        230.258       7.84e-10       2.27e+10
      0.43      7.00      3.00      0.00        144.168       7.13e-08       2.07e+12
      0.60      5.00      3.00      0.00        116.115       1.96e-09       5.68e+10
      0.33     15.00      5.00      0.00        286.364       1.53e-19       4.43e+00
      0.62      8.00      5.00      0.00        190.194       3.59e-13       1.04e+07
      0.40     15.00      6.00      0.00        301.355       5.68e-15       1.65e+05
      0.57      7.00      4.00      0.00        160.168       3.81e-09       1.10e+11
      0.83      6.00      5.00      0.00        162.141       3.66e-12       1.06e+08
      0.46     13.00      6.00      0.00        271.286       1.16e-13       3.36e+06
      0.27     11.00      3.00      0.00        198.259       4.19e-10       1.21e+10
      0.71      7.00      5.00      0.00        174.151       7.29e-09       2.12e+11
      0.45     11.00      5.00      0.00        229.250       2.98e-11       8.64e+08
      0.57      7.00      4.00      0.00        158.152       1.45e-09       4.22e+10
      0.50     10.00      5.00      0.00        216.231       1.94e-12       5.63e+07
