#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                      NH3.dat
1.01493055555555557135e+02  6.13991047162388081659e+00  3.31499296562759084850e+01  3.37843412698412637676e-03  1.01004998081534790799e+03  5.03070416664694063365e+06  1.74166781178148895037e+01
1.01500000000000000000e+02  6.37999999999999989342e+00  3.16900000000000012790e+01  3.37520000000000007512e-03  1.00994000000000005457e+03  5.02011500000000000000e+06  3.49263288368732958133e+01
1.01506944444444442865e+02  6.56992326139189852796e+00  3.25302685851283541751e+01  3.35733955026455482482e-03  1.00995003197442008513e+03  5.12446549980560876429e+06  3.69924762744306150353e+01
1.01513888888888885731e+02  5.95003037570195392192e+00  3.30399408473172471190e+01  3.33947910052911000819e-03  1.00979001598721151822e+03  5.22881599961121659726e+06  4.97154892863776112222e+01
1.01520833333333328596e+02  6.60003357314140171042e+00  2.98900959232611498351e+01  3.32161865079366475789e-03  1.00963999999999998636e+03  5.33316649941682536155e+06  2.25319578585648550018e+00
1.01527777777777771462e+02  6.36996163069472220997e+00  2.90601278976842571922e+01  3.34387619047616562254e-03  1.00967001278976840695e+03  5.30790683338040579110e+06  7.45553984464222807560e+00
1.01534722222222228538e+02  6.75995843325261525081e+00  3.06596386890419694282e+01  3.36712023809525480555e-03  1.00980997442046304968e+03  5.28264716661959420890e+06  3.37822581530301979669e+00
1.01541666666666671404e+02  6.29003357314140210121e+00  3.02697793764993612342e+01  3.39036428571429628367e-03  1.00965992326139109991e+03  5.25738749953345581889e+06  3.52197218304586723292e+00
1.01548611111111114269e+02  6.59005115907697369693e+00  2.96799760191826678124e+01  3.46135613888891953069e-03  1.00950000479616346638e+03  5.17390633302230387926e+06  2.13017772233642954660e+00
1.01555555555555557135e+02  6.99995523581194056817e+00  2.96298017585957360609e+01  3.53475544444447307979e-03  1.00953998721023197049e+03  5.09042516651115193963e+06  1.09948502532487637495e+01
1.01562500000000000000e+02  7.08999999999999985789e+00  3.01799999999999997158e+01  3.60265999999999928308e-03  1.00932000000000005002e+03  5.00694400000000000000e+06  2.12062742370662284941e+01
1.01569444444444442865e+02  7.13002557953603410823e+00  2.96703517186204699385e+01  3.59974333333333345805e-03  1.00927991047162390714e+03  4.85609400028101447970e+06  4.97284253606035093753e+01
1.01576388888888885731e+02  7.19001119104808861238e+00  2.93800639488462174143e+01  3.59682666666666719935e-03  1.00923999200639423179e+03  4.70524400056202895939e+06  5.77118960791118595921e+01
1.01583333333333328596e+02  7.30996163069554061309e+00  2.94199520383694270720e+01  3.59423285714285554657e-03  1.00919004796163062565e+03  4.55439400084304250777e+06  5.53362874408563456541e+01
1.01590277777777771462e+02  7.16999040767368089888e+00  2.93801662669895371494e+01  3.59804238095237823025e-03  1.00910999680255793010e+03  4.10073358417875412852e+06  5.89964214824712342988e+01
1.01597222222222228538e+02  7.22010871303162016233e+00  2.89000319744210649731e+01  3.60185190476190915387e-03  1.00915998081534735320e+03  3.64707316582124587148e+06  5.86743169695178892198e+01
1.01604166666666671404e+02  7.33999999999999985789e+00  2.82599616306955425671e+01  3.60419182539678008281e-03  1.00896999520383701565e+03  3.19341274968953477219e+06  8.00532236407515114252e+01
1.01611111111111114269e+02  7.08000959232693283241e+00  2.79100015987211556023e+01  3.54676788359785345392e-03  1.00885000000000002274e+03  3.13785958312635635957e+06  4.38827105823193406309e+01
1.01618055555555557135e+02  7.59003836930405118011e+00  2.65301854516362460856e+01  3.48934394179892682503e-03  1.00873005755395604410e+03  3.08230641656317841262e+06  4.66034427844682639375e+01
