#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                     NH3.dat
1.13270833333333328596e+02  -9.99980815347770501944e-01  8.64699568345324820484e+01  3.29204468253973441330e-03  9.96070038369304484149e+02  5.96674492411167593673e+04  3.95415699630154948707e+00
1.13277777777777771462e+02  -5.70015987210532371066e-01  8.46302174260632398273e+01  3.19825703703713760256e-03  9.96070003197442133569e+02  8.00742786078040953726e+04  3.97818996231077193215e+00
1.13284722222222228538e+02  9.00351718631712677476e-02  8.21897601918420122047e+01  3.10376629629622842813e-03  9.96010003197442074452e+02  1.00481108110945904627e+05  4.00222292832004278296e+00
1.13291666666666671404e+02  5.99980815347770479740e-01  7.98700527577936298940e+01  3.00927555555551267535e-03  9.96009980815347716998e+02  1.20887937745770483161e+05  4.02625589432926567213e+00
1.13298611111111114269e+02  8.50022382096176198907e-01  7.84799440447595628711e+01  2.94957358333330921241e-03  9.96119972821740361724e+02  1.64864911622180312406e+05  4.05028886033848678494e+00
1.13305555555555557135e+02  1.54996802557995771998e+00  7.67202749800123626756e+01  2.89162566666664429607e-03  9.95989955235811976308e+02  2.08841885498590185307e+05  4.07432182634770967411e+00
1.13312500000000000000e+02  2.47000000000000019540e+00  7.31500000000000056843e+01  2.84636928571432596541e-03  9.95840000000000031832e+02  2.52818859375000000000e+05  4.09835479235693167510e+00
1.13319444444444442865e+02  2.88003836930405077155e+00  6.83202685851283462171e+01  2.96469269841270711627e-03  9.95670063948840038393e+02  2.82929260360574815422e+05  4.12238775836615367609e+00
1.13326388888888885731e+02  3.51000159872115524706e+00  6.27500735411731511704e+01  3.08301611111108870081e-03  9.95630017585932705515e+02  3.13039661346149630845e+05  4.14642072437537656526e+00
1.13333333333333328596e+02  3.16997601918471305638e+00  6.06203645083923561288e+01  3.19132412698416812954e-03  9.95729947242206435476e+02  3.43150062331724504475e+05  4.17045369038459767808e+00
1.13340277777777771462e+02  3.16998401278946762005e+00  6.06303517186317151300e+01  3.10099343915350416506e-03  9.95660019184652583135e+02  4.00658031142830732279e+05  4.19448665639382056725e+00
1.13347222222222228538e+02  3.14000000000000012434e+00  6.19398337330104595821e+01  3.01066275132265545253e-03  9.95759990407673626578e+02  4.58166000107169267721e+05  4.21851962240309141805e+00
1.13354166666666671404e+02  3.26000479616305716135e+00  6.16798225419668781910e+01  2.92214857142856013206e-03  9.95560100719424099225e+02  5.15673969150663528126e+05  4.24255258841231430722e+00
1.13361111111111114269e+02  3.31998561150960069810e+00  5.96499888089519103573e+01  2.90750571428570643573e-03  9.95480027178259661014e+02  5.87366750267109018750e+05  4.26658555442153542003e+00
1.13368055555555557135e+02  3.49002557953603398389e+00  5.86804412469965868127e+01  2.89286285714285317308e-03  9.95380051159072081646e+02  6.59059531383554567583e+05  4.29061852043075830920e+00
1.13375000000000000000e+02  3.41999999999999992895e+00  5.74699999999999988631e+01  2.87821999999999991043e-03  9.95440000000000054570e+02  7.30752312500000000000e+05  4.31465148643998031019e+00
1.13381944444444442865e+02  3.59002557953603362861e+00  5.75903197442004284312e+01  2.95453613756611714602e-03  9.95300095923260073505e+02  8.42139833125832607038e+05  4.33868445244920231119e+00
1.13388888888888885731e+02  3.50000159872115546023e+00  5.79100111910480848110e+01  3.03085227513223438162e-03  9.95309996802557634510e+02  9.53527353751665214077e+05  4.36271741845842520036e+00
1.13395833333333328596e+02  3.41996163069554093283e+00  5.96500383693044611277e+01  3.10716841269835161721e-03  9.95240033573141431589e+02  1.06491487437749770470e+06  4.38675038446764631317e+00
1.13402777777777771462e+02  3.87999999999999989342e+00  5.97100383693052805256e+01  3.00927952380963207452e-03  9.95319987210231602148e+02  1.35907712445181258954e+06  4.41078335047686920234e+00
1.13409722222222228538e+02  3.87012470024215282649e+00  5.80101278976842564816e+01  2.90710690476183100661e-03  9.95089974420463136084e+02  1.65323937554818741046e+06  4.43481631648614005314e+00
