#                     time          SMEAR_TEMP_168.dat                SMEAR_RH.dat                SMEAR_CS.dat             SMEAR_PRESS.dat               SA_ground.dat                     NH3.dat               All_J.dat.csv
9.11875000000000000000e+01  -5.12000000000000010658e+00  4.19699999999999988631e+01  6.40989880952399972841e-03  9.90759999999999990905e+02  1.46320609375000000000e+05  2.00000000000000000000e+00  1.17711947417949002598e-02
9.11944444444399948679e+01  -5.54002557953599961138e+00  4.38701151079100029051e+01  6.70797288888900014592e-03  9.90790012789800016435e+02  1.46036114583899994614e+05  2.00000000000000000000e+00  2.82900551685935988666e-03
9.12013888888899941776e+01  -5.51998561151000011193e+00  4.47699904076700008204e+01  7.03392427777799981309e-03  9.90789979216600045220e+02  1.45751619792699988466e+05  2.00000000000000000000e+00  1.01122540347039994307e-02
9.12083333333300032564e+01  -5.68003357314100032482e+00  4.59900000000000019895e+01  7.43793174603100005343e-03  9.90690019184699963262e+02  1.45467125001600012183e+05  2.00000000000000000000e+00  2.79705899826867979488e-03
9.12152777777800025660e+01  -6.49994564348399972431e+00  4.36101023181499982684e+01  9.39005145502500027099e-03  9.90409999999999968168e+02  1.25547117224600006011e+05  2.00000000000000000000e+00  8.32434711732630032086e-04
9.12222222222199974340e+01  -6.60002557953700019766e+00  4.68801247002400032216e+01  1.13421711640200005566e-02  9.90449952038400056153e+02  1.05627109337899993989e+05  2.00000000000000000000e+00  9.99999999999999954748e-07
9.12291666666699967436e+01  -7.50999040767399961283e+00  4.90299232613900031197e+01  1.32305107936500007670e-02  9.90429966426900023180e+02  8.57071015568900038488e+04  2.00000000000000000000e+00  6.87053007190033000057e-03
9.12361111111100058224e+01  -7.66001278976899957485e+00  4.78000751398899978994e+01  1.25251271957699996523e-02  9.90100022382099950846e+02  8.47028932254300016211e+04  2.00000000000000000000e+00  9.99999999999999954748e-07
9.12430555555600051321e+01  -7.82998721023199983904e+00  5.44195011990500034926e+01  1.18197435978799995915e-02  9.90210038369300036720e+02  8.36986848939600022277e+04  2.00000000000000000000e+00  2.43284456189534013110e-03
9.12500000000000000000e+01  -7.91999999999999992895e+00  5.46799999999999997158e+01  1.11143600000000002115e-02  9.90320000000000050022e+02  8.26944765625000000000e+04  2.00000000000000000000e+00  9.99999999999999954748e-07
9.12569444444399948679e+01  -7.16995523581200000507e+00  5.28098529176699997834e+01  1.28022865872999998260e-02  9.90350057554000045457e+02  1.00285223925600002985e+05  2.00000000000000000000e+00  5.26916210050422037514e-03
9.12638888888899941776e+01  -6.55999999999999960920e+00  5.08800015987199998335e+01  1.44902131745999994406e-02  9.90469976019199975781e+02  1.17875971288600005209e+05  2.00000000000000000000e+00  9.99999999999999954748e-07
9.12708333333300032564e+01  -6.79000479616300012253e+00  5.20999760191799978770e+01  1.61781397618999990551e-02  9.90340038369300032173e+02  1.35466718651700008195e+05  2.00000000000000000000e+00  4.87346824492167034204e-03
9.12777777777800025660e+01  -7.29998401278900033162e+00  5.20099936051200018028e+01  1.48381619047600003120e-02  9.90279980815299950336e+02  1.34628046876600012183e+05  2.00000000000000000000e+00  2.64691603787895000238e-03
9.12847222222199974340e+01  -6.75997761790500018009e+00  4.82500000000000000000e+01  1.34237273809500005928e-02  9.90309977617900017322e+02  1.33789374998399987817e+05  2.00000000000000000000e+00  3.88512209075120990009e-03
9.12916666666699967436e+01  -6.05003836930399963023e+00  4.98199328537199974676e+01  1.20092928571399991389e-02  9.90350076738600023418e+02  1.32950703133700008038e+05  4.78770205656800040828e+00  5.15353431591353966512e-03
9.12986111111100058224e+01  -4.95000639488500038254e+00  4.85399840127900006337e+01  1.17956646666699995624e-02  9.90469976019199975781e+02  1.34512604172499995911e+05  2.39960690560999978516e+00  2.59914164956456979205e-03
9.13055555555600051321e+01  -4.63994884092799964037e+00  4.63500191846500015913e+01  1.16425813333299998237e-02  9.90360038369300013983e+02  1.36074505211200012127e+05  3.07913711620500007982e+00  5.11900247005634030650e-03
9.13125000000000000000e+01  -4.92999999999999971578e+00  4.80700000000000002842e+01  1.14806045238100007388e-02  9.90399999999999977263e+02  1.37636406250000000000e+05  4.76206411827800035752e+00  9.88477826831172081204e-04
9.13194444444399948679e+01  -5.01005115907199982672e+00  4.90601215028000012808e+01  1.12040006878299999715e-02  9.90350102318099970944e+02  2.78575478904100018553e+05  3.14220075194800019247e+00  1.64002217847167004565e-03
9.13263888888899941776e+01  -4.99998721023099967908e+00  5.13199536370900020188e+01  1.09273968518499992042e-02  9.90480011191000016879e+02  4.19514551558199978899e+05  2.45037940147199995167e+00  1.31532702821607989582e-03
