  # time_sec                  max_d_vap                 max_d_npar                max_d_dpar
   6900.4799999997240        2.0152638006804984E-002   4.4264392674668980E-002   2.9596259764175237E-004
   7201.2799999996641        2.0120531585745956E-002   4.4194753461905885E-002   3.1692058668375545E-004
   7500.7999999996046        1.9998315775770041E-002   4.4129934872419535E-002   4.3402082213028770E-004
   7800.3199999995450        1.9976342292236181E-002   4.4067015917109452E-002   3.6122015587602974E-004
   8101.1199999994851        1.9954641076214617E-002   4.4004567341714131E-002   4.1137313829175959E-004
   8400.6399999995738        2.0022084658462422E-002   4.3946527686546201E-002   4.3114533474564176E-004
   8700.1599999997270        2.0004572657652153E-002   4.3889842210251932E-002   3.7849280366053506E-004
   9000.9599999998809        1.9986548663686318E-002   4.3832720801550748E-002   4.3398938835115253E-004
   9300.4800000000341        1.9967075637726834E-002   4.3777386063300651E-002   3.5840536289599711E-004
   9600.0000000001874        1.9949003755475869E-002   4.3725614885074121E-002   3.8826650545953356E-004
   9900.8000000003412        1.9929916699214970E-002   4.3671770182222493E-002   4.5219385396966238E-004
   10200.320000000494        1.9911775831674097E-002   4.3621048141739713E-002   3.7339044739836957E-004
   10501.120000000648        1.9893294026713013E-002   4.3569481898154815E-002   4.0010177950078329E-004
   10800.640000000802        1.9876761715727276E-002   4.3523377844378867E-002   4.4030550099516397E-004
   11100.160000000955        1.9861500959251089E-002   4.3478965103106601E-002   5.6583812673416389E-004
   11400.960000001109        1.9843183196968182E-002   4.3429431758429490E-002   3.9829434127791608E-004
   11700.480000001262        1.9824806239118663E-002   4.3377694448625347E-002   4.2361036860061319E-004
   12000.000000001415        1.9814149727534588E-002   4.3346980610432746E-002   4.5400200103795640E-004
   12300.800000001569        1.9796353217052587E-002   4.3295960615779068E-002   4.9272995503524264E-004
   12600.320000001722        1.9795833911415525E-002   4.3292232995394822E-002   5.4589215581413164E-004
   12901.120000001876        1.9779479205893100E-002   3.7055282766010618E-002   6.4612770963212718E-004
   13200.640000002029        1.9791169849828209E-002   4.3272298792627055E-002   4.4059776620453128E-004
   13500.160000002183        1.9775959804343522E-002   4.3227415667013470E-002   4.3245674128833400E-004
   13800.960000002337        1.9801392793238361E-002   4.3289364414035629E-002   4.4032900828727684E-004
   14100.480000002490        1.9789913509907997E-002   4.3253185264959540E-002   4.5056395240261615E-004
   14400.000000002643        1.9775343230290399E-002   4.3210535687760551E-002   4.6689136037469936E-004
   14700.800000002797        1.9832283606560860E-002   4.3351410929368256E-002   4.8913238613890186E-004
   15000.320000002950       -2.9849882488283217E-002   4.3311343714035846E-002   5.3034679627206316E-004
   15301.120000003104        1.9813037756033301E-002   4.3290887044314268E-002   6.1474304465747309E-004
   15600.640000003257        1.9904318654199418E-002   4.3512360634289426E-002   1.0977856203695513E-003
   15900.160000003410        1.9891417883632360E-002   4.3472668540819208E-002   4.3942524761386714E-004
   16200.960000003564        1.9895000339656368E-002   4.3477573389902199E-002   7.2534085187903052E-004
   16500.480000003550        2.0043032050977166E-002   4.3826376893410575E-002   4.6170094457287369E-004
   16800.000000003278        2.0030718466521841E-002   4.3787242950074703E-002   4.7128659082340540E-004
   17100.800000003004       -2.0661428267912299E-002   4.3748688309915601E-002   4.8600155611300266E-004
   17400.320000002732        2.0040640777378868E-002   4.3800591350028562E-002   5.1747622269671112E-004
   17701.120000002458        2.0202502961342243E-002   4.4163432190969763E-002   6.0696657573466872E-004
   18000.640000002186        2.0190954826947348E-002   4.4125473083126081E-002   4.1921369368336237E-004
   18300.160000001913        2.0380255404935196E-002   4.4527992200248230E-002   4.4216937018171087E-004
   18600.960000001640        2.0367701384461097E-002   4.4490283666062495E-002   4.8702293687341580E-004
   18900.480000001367        2.0356433623458566E-002   4.4454374525089296E-002   5.6657356971023809E-004
   19200.000000001095        2.0399472322879895E-002   4.4561858886208484E-002   7.5618441258207270E-004
   19500.800000000821        2.0571656926388980E-002   4.4902867724796000E-002   4.9357653222226183E-004
   19800.320000000549        2.0561633393446490E-002   4.4869938041221032E-002   5.2451483484117212E-004
   20101.120000000275        2.0831797297560826E-002   4.5432115102352670E-002   5.3998341749794676E-004
   20400.640000000003        2.0818385092355625E-002   4.5392744528356115E-002   5.4542648122746229E-004
   20700.159999999731        2.0806713545870260E-002   4.5355504150831692E-002   5.5900895682126084E-004
   21000.959999999457        2.0971606882267981E-002   4.5630016122593285E-002   6.1550977480728797E-004
   21300.479999999185        2.0961111190889833E-002   4.5597058726374332E-002   6.9300487497070407E-004
   21601.279999998911        2.1133502836425296E-002   4.5857711411268286E-002   4.7577211537896957E-004
   21900.799999998639        2.1321135943722709E-002   4.6188787881767744E-002   5.2400376046568553E-004
   22200.319999998366        2.1453397827849472E-002   4.6353616212367048E-002   4.0999289416943085E-004
   22501.119999998093        2.1570231873415242E-002   4.6485990666037702E-002   3.7151167718718625E-004
   22800.639999997820        2.1551570041062229E-002   4.6440071893747242E-002   3.5519792857074961E-004
   23100.159999997548       -9.5801706232516159E-002   4.7045871163067042E-002   3.4767788336553807E-004
   23400.009999981765       -4.0919917046951715E-004   4.6994508622230126E-002   2.6338069438747169E-006
   23700.479999949253       -4.1877438357413789E-002   4.6945174073381897E-002   7.8000557741919607E-004
